Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,76,0.14974190015345812,500
0.edge,1,RLF,Quotient,77,1.4388520997017622,500
0.edge,1,RLF,WholeGraph,76,0.39627679996192455,500
0.edge,1,Greedy,WholePrime,82,0.13234979985281825,500
0.edge,1,Greedy,Quotient,77,1.4479693998582661,500
0.edge,1,Greedy,WholeGraph,82,0.18398139998316765,500
0.edge,1,DSatur,WholePrime,76,0.2942951996810734,500
0.edge,1,DSatur,Quotient,77,1.4898497997783124,500
0.edge,1,DSatur,WholeGraph,76,0.48114739963784814,500
0.edge,1,TabuCol,WholePrime,76,8.96776599995792,500
0.edge,1,TabuCol,Quotient,77,3.7358313999138772,500
0.edge,1,TabuCol,WholeGraph,76,3.2604860002174973,500
1.edge,1,RLF,WholePrime,93,0.21640440030023456,500
1.edge,1,RLF,Quotient,93,1.8778814999386668,500
1.edge,1,RLF,WholeGraph,92,0.23144569993019104,500
1.edge,1,Greedy,WholePrime,102,0.1346497000195086,500
1.edge,1,Greedy,Quotient,93,1.9526100000366569,500
1.edge,1,Greedy,WholeGraph,101,0.1593682998791337,500
1.edge,1,DSatur,WholePrime,90,0.28416289994493127,500
1.edge,1,DSatur,Quotient,93,1.9343234999105334,500
1.edge,1,DSatur,WholeGraph,90,0.5545447003096342,500
1.edge,1,TabuCol,WholePrime,90,11.35693039977923,500
1.edge,1,TabuCol,Quotient,93,2.9294229997321963,500
1.edge,1,TabuCol,WholeGraph,92,3.2300491998903453,500
10.edge,1,RLF,WholePrime,76,0.16920460015535355,500
10.edge,1,RLF,Quotient,75,1.1985828997567296,500
10.edge,1,RLF,WholeGraph,79,0.5147302998229861,500
10.edge,1,Greedy,WholePrime,78,0.09962240001186728,500
10.edge,1,Greedy,Quotient,75,1.2434093998745084,500
10.edge,1,Greedy,WholeGraph,78,0.07421679981052876,500
10.edge,1,DSatur,WholePrime,73,0.27403310034424067,500
10.edge,1,DSatur,Quotient,75,1.2890315996482968,500
10.edge,1,DSatur,WholeGraph,73,0.49310850026085973,500
10.edge,1,TabuCol,WholePrime,75,15.348038900177926,500
10.edge,1,TabuCol,Quotient,75,5.320383800193667,500
10.edge,1,TabuCol,WholeGraph,79,1.8987817000597715,500
11.edge,1,RLF,WholePrime,89,0.07918090000748634,500
11.edge,1,RLF,Quotient,89,0.4834612999111414,500
11.edge,1,RLF,WholeGraph,89,0.22276689996942878,500
11.edge,1,Greedy,WholePrime,95,0.06607360020279884,500
11.edge,1,Greedy,Quotient,89,0.5442768996581435,500
11.edge,1,Greedy,WholeGraph,93,0.17726799985393882,500
11.edge,1,DSatur,WholePrime,88,0.143904700409621,500
11.edge,1,DSatur,Quotient,89,0.5445400001481175,500
11.edge,1,DSatur,WholeGraph,88,0.6749736997298896,500
