Graph,RootType,Heuristic,Strategy,ColorCount,Time
4.edge,1,Greedy,WholePrime,393,0.3024134999141097
4.edge,1,Greedy,Quotient,390,1.9443017998710275
4.edge,1,Greedy,WholeGraph,392,2.493797200266272
4.edge,1,DSatur,WholePrime,388,0.6046628998592496
4.edge,1,DSatur,Quotient,388,2.0481361001729965
4.edge,1,DSatur,WholeGraph,388,4.388214499689639
4.edge,1,TabuCol,WholePrime,387,32.79735539993271
4.edge,1,TabuCol,Quotient,387,20.16490719979629
4.edge,1,TabuCol,WholeGraph,387,33.04973360011354
5.edge,1,RLF,WholePrime,368,0.5671750996261835
5.edge,1,RLF,Quotient,368,3.925705200061202
5.edge,1,RLF,WholeGraph,368,0.9604086000472307
5.edge,1,Greedy,WholePrime,379,0.5105178998783231
5.edge,1,Greedy,Quotient,370,3.976645200047642
5.edge,1,Greedy,WholeGraph,379,4.409138800110668
5.edge,1,DSatur,WholePrime,367,1.0125993001274765
5.edge,1,DSatur,Quotient,367,4.127463100012392
5.edge,1,DSatur,WholeGraph,367,6.671623800415546
5.edge,1,TabuCol,WholePrime,367,55.36150410026312
5.edge,1,TabuCol,Quotient,367,25.067765000276268
5.edge,1,TabuCol,WholeGraph,368,37.37685939995572
6.edge,1,RLF,WholePrime,274,0.4035122999921441
6.edge,1,RLF,Quotient,275,3.8914530002512038
6.edge,1,RLF,WholeGraph,274,2.264394100289792
6.edge,1,Greedy,WholePrime,280,0.44371060002595186
6.edge,1,Greedy,Quotient,279,3.9079861999489367
6.edge,1,Greedy,WholeGraph,280,2.030423799995333
6.edge,1,DSatur,WholePrime,274,0.9575676000677049
6.edge,1,DSatur,Quotient,275,4.27998899994418
6.edge,1,DSatur,WholeGraph,274,3.5909274998120964
6.edge,1,TabuCol,WholePrime,274,57.04277100041509
6.edge,1,TabuCol,Quotient,275,38.649689900223166
6.edge,1,TabuCol,WholeGraph,274,24.973394100088626
7.edge,1,RLF,WholePrime,335,0.526607499923557
