Graph,RootType,Heuristic,Strategy,ColorCount,Time
latin_square.edge,p,DSatur,Quotient,147,126.35657679988071
latin_square.edge,p,DSatur,WholeGraph,129,1.1395569001324475
latin_square.edge,p,TabuCol,WholePrime,131,140.40009430004284
latin_square.edge,p,TabuCol,Quotient,147,118.49513159971684
latin_square.edge,p,TabuCol,WholeGraph,133,96.80244640028104
le450_25c.edge,p,RLF,WholePrime,30,0.8558946000412107
le450_25c.edge,p,RLF,Quotient,30,1.9303287998773158
le450_25c.edge,p,RLF,WholeGraph,30,0.12276089983060956
le450_25c.edge,p,Greedy,WholePrime,37,0.15311359986662865
le450_25c.edge,p,Greedy,Quotient,30,2.006273899693042
le450_25c.edge,p,Greedy,WholeGraph,37,0.01245239982381463
le450_25c.edge,p,DSatur,WholePrime,28,0.3199025997892022
le450_25c.edge,p,DSatur,Quotient,30,1.9197709998115897
le450_25c.edge,p,DSatur,WholeGraph,28,0.07214249996468425
le450_25c.edge,p,TabuCol,WholePrime,30,4.296353599987924
le450_25c.edge,p,TabuCol,Quotient,30,1.7375976997427642
le450_25c.edge,p,TabuCol,WholeGraph,30,1.7439354001544416
le450_25d.edge,p,RLF,WholePrime,30,0.8545450000092387
le450_25d.edge,p,RLF,Quotient,29,1.9411262995563447
le450_25d.edge,p,RLF,WholeGraph,30,0.12114499974995852
le450_25d.edge,p,Greedy,WholePrime,37,0.1361854998394847
le450_25d.edge,p,Greedy,Quotient,29,2.017019800376147
le450_25d.edge,p,Greedy,WholeGraph,37,0.015333500225096941
le450_25d.edge,p,DSatur,WholePrime,29,0.30372639978304505
le450_25d.edge,p,DSatur,Quotient,29,1.9209695998579264
le450_25d.edge,p,DSatur,WholeGraph,29,0.07423659972846508
le450_25d.edge,p,TabuCol,WholePrime,30,4.133941799867898
le450_25d.edge,p,TabuCol,Quotient,29,1.685746899805963
le450_25d.edge,p,TabuCol,WholeGraph,30,1.6143648996949196
r1000.1c.edge,p,RLF,WholePrime,107,3.4055091002956033
r1000.1c.edge,p,RLF,Quotient,105,292.50331600010395
r1000.1c.edge,p,RLF,WholeGraph,107,0.5699489000253379
r1000.1c.edge,p,Greedy,WholePrime,138,2.084015699569136
r1000.1c.edge,p,Greedy,Quotient,105,272.9584487997927
r1000.1c.edge,p,Greedy,WholeGraph,138,0.22040020022541285
r1000.1c.edge,p,DSatur,WholePrime,107,6.478236000053585
r1000.1c.edge,p,DSatur,Quotient,105,261.68774279998615
r1000.1c.edge,p,DSatur,WholeGraph,107,1.964971300214529
r1000.1c.edge,p,TabuCol,WholePrime,107,18.17296600015834
r1000.1c.edge,p,TabuCol,Quotient,105,255.7507962002419
r1000.1c.edge,p,TabuCol,WholeGraph,107,9.543188699986786
r1000.5.edge,p,RLF,WholePrime,263,7.962171800434589
r1000.5.edge,p,RLF,Quotient,263,83.71554480027407
r1000.5.edge,p,RLF,WholeGraph,263,1.3316542003303766
r1000.5.edge,p,Greedy,WholePrime,275,6.62986519979313
r1000.5.edge,p,Greedy,Quotient,263,81.89771670009941
r1000.5.edge,p,Greedy,WholeGraph,275,0.731079800054431
r1000.5.edge,p,DSatur,WholePrime,248,11.347206800244749
r1000.5.edge,p,DSatur,Quotient,263,79.12081340001896
r1000.5.edge,p,DSatur,WholeGraph,248,1.984673900064081
