Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,130,0.020989099983125925,250
0.edge,1,RLF,Quotient,130,0.07926340028643608,250
0.edge,1,RLF,WholeGraph,130,0.019866699818521738,250
0.edge,1,Greedy,WholePrime,134,0.024746499955654144,250
0.edge,1,Greedy,Quotient,132,0.09996060002595186,250
0.edge,1,Greedy,WholeGraph,133,0.08461849996820092,250
0.edge,1,DSatur,WholePrime,130,0.0509620001539588,250
0.edge,1,DSatur,Quotient,130,0.10671740025281906,250
0.edge,1,DSatur,WholeGraph,130,0.24141060002148151,250
0.edge,1,TabuCol,WholePrime,130,5.657794100232422,250
0.edge,1,TabuCol,Quotient,130,3.9110722998157144,250
0.edge,1,TabuCol,WholeGraph,130,3.300322599709034,250
1.edge,1,RLF,WholePrime,109,0.01980940019711852,250
1.edge,1,RLF,Quotient,109,0.055081000085920095,250
1.edge,1,RLF,WholeGraph,109,0.029250499792397022,250
1.edge,1,Greedy,WholePrime,110,0.015663400292396545,250
1.edge,1,Greedy,Quotient,110,0.04652309976518154,250
1.edge,1,Greedy,WholeGraph,110,0.05805329978466034,250
1.edge,1,DSatur,WholePrime,109,0.04291489999741316,250
1.edge,1,DSatur,Quotient,109,0.07498309994116426,250
1.edge,1,DSatur,WholeGraph,109,0.15516220033168793,250
1.edge,1,TabuCol,WholePrime,109,5.650359300430864,250
1.edge,1,TabuCol,Quotient,109,3.915470799896866,250
1.edge,1,TabuCol,WholeGraph,109,1.7590097999200225,250
10.edge,1,RLF,WholePrime,122,0.01784989982843399,250
10.edge,1,RLF,Quotient,122,0.018537699710577726,250
10.edge,1,RLF,WholeGraph,122,0.029912199825048447,250
10.edge,1,Greedy,WholePrime,124,0.014484300278127193,250
10.edge,1,Greedy,Quotient,124,0.014790200162678957,250
10.edge,1,Greedy,WholeGraph,124,0.0654619000852108,250
10.edge,1,DSatur,WholePrime,122,0.04907219996675849,250
10.edge,1,DSatur,Quotient,122,0.03973550023511052,250
10.edge,1,DSatur,WholeGraph,122,0.2888597003184259,250
10.edge,1,TabuCol,WholePrime,122,6.2863322999328375,250
10.edge,1,TabuCol,Quotient,122,4.62779980013147,250
10.edge,1,TabuCol,WholeGraph,122,2.787887000013143,250
11.edge,1,RLF,WholePrime,174,0.010212500113993883,250
11.edge,1,RLF,Quotient,174,0.0103817000053823,250
11.edge,1,RLF,WholeGraph,174,0.015345900319516659,250
11.edge,1,Greedy,WholePrime,176,0.009054000023752451,250
11.edge,1,Greedy,Quotient,176,0.008881199639290571,250
11.edge,1,Greedy,WholeGraph,176,0.11238169996067882,250
11.edge,1,DSatur,WholePrime,174,0.02132180007174611,250
11.edge,1,DSatur,Quotient,174,0.020422699861228466,250
11.edge,1,DSatur,WholeGraph,174,0.25098450016230345,250
11.edge,1,TabuCol,WholePrime,174,4.392513399943709,250
11.edge,1,TabuCol,Quotient,174,3.895139599684626,250
11.edge,1,TabuCol,WholeGraph,174,2.185063200071454,250
12.edge,1,RLF,WholePrime,126,0.006715200375765562,250
12.edge,1,RLF,Quotient,126,0.005700399633497,250
12.edge,1,RLF,WholeGraph,126,0.020035400055348873,250
12.edge,1,Greedy,WholePrime,128,0.006371099967509508,250
12.edge,1,Greedy,Quotient,128,0.006297699641436338,250
12.edge,1,Greedy,WholeGraph,128,0.0646222997456789,250
12.edge,1,DSatur,WholePrime,126,0.013767099939286709,250
12.edge,1,DSatur,Quotient,126,0.015651999972760677,250
12.edge,1,DSatur,WholeGraph,126,0.14123170031234622,250
12.edge,1,TabuCol,WholePrime,126,1.8939725002273917,250
12.edge,1,TabuCol,Quotient,126,1.9907821002416313,250
12.edge,1,TabuCol,WholeGraph,126,1.8394641000777483,250
13.edge,1,RLF,WholePrime,65,0.015663300175219774,250
13.edge,1,RLF,Quotient,65,0.11552059976384044,250
13.edge,1,RLF,WholeGraph,65,0.0315849999897182,250
13.edge,1,Greedy,WholePrime,66,0.01869479985907674,250
13.edge,1,Greedy,Quotient,65,0.11763460002839565,250
13.edge,1,Greedy,WholeGraph,66,0.02115670032799244,250
13.edge,1,DSatur,WholePrime,65,0.034268499817699194,250
13.edge,1,DSatur,Quotient,65,0.11431600013747811,250
13.edge,1,DSatur,WholeGraph,65,0.05966020002961159,250
13.edge,1,TabuCol,WholePrime,65,2.5791020998731256,250
13.edge,1,TabuCol,Quotient,65,1.0378217999823391,250
13.edge,1,TabuCol,WholeGraph,65,1.3873568996787071,250
14.edge,1,RLF,WholePrime,143,0.01908760005608201,250
14.edge,1,RLF,Quotient,144,0.10902420012280345,250
14.edge,1,RLF,WholeGraph,143,0.01599550014361739,250
14.edge,1,Greedy,WholePrime,146,0.018242500256747007,250
14.edge,1,Greedy,Quotient,144,0.11889349995180964,250
14.edge,1,Greedy,WholeGraph,146,0.11518700001761317,250
14.edge,1,DSatur,WholePrime,142,0.054878899827599525,250
14.edge,1,DSatur,Quotient,144,0.13578040013089776,250
14.edge,1,DSatur,WholeGraph,142,0.30503900023177266,250
14.edge,1,TabuCol,WholePrime,142,4.481492400169373,250
14.edge,1,TabuCol,Quotient,144,2.1487138997763395,250
14.edge,1,TabuCol,WholeGraph,143,3.8486462999135256,250
2.edge,1,RLF,WholePrime,136,0.02988750021904707,250
2.edge,1,RLF,Quotient,136,0.13702289992943406,250
2.edge,1,RLF,WholeGraph,136,0.020572700072079897,250
2.edge,1,Greedy,WholePrime,138,0.012451800052076578,250
2.edge,1,Greedy,Quotient,138,0.12444959999993443,250
2.edge,1,Greedy,WholeGraph,137,0.07884470000863075,250
2.edge,1,DSatur,WholePrime,136,0.04777209972962737,250
2.edge,1,DSatur,Quotient,136,0.13468179991468787,250
2.edge,1,DSatur,WholeGraph,136,0.18583770003169775,250
2.edge,1,TabuCol,WholePrime,136,5.395007699728012,250
2.edge,1,TabuCol,Quotient,136,3.851870800368488,250
2.edge,1,TabuCol,WholeGraph,136,2.205875900108367,250
3.edge,1,RLF,WholePrime,106,0.021014300175011158,250
3.edge,1,RLF,Quotient,106,0.07003750000149012,250
3.edge,1,RLF,WholeGraph,106,0.02928629983216524,250
3.edge,1,Greedy,WholePrime,109,0.0253371000289917,250
3.edge,1,Greedy,Quotient,106,0.06544960010796785,250
3.edge,1,Greedy,WholeGraph,110,0.071582299657166,250
3.edge,1,DSatur,WholePrime,106,0.05396729987114668,250
3.edge,1,DSatur,Quotient,106,0.08251440012827516,250
3.edge,1,DSatur,WholeGraph,106,0.1353563000448048,250
3.edge,1,TabuCol,WholePrime,106,5.891686399932951,250
3.edge,1,TabuCol,Quotient,106,3.4828679002821445,250
3.edge,1,TabuCol,WholeGraph,106,2.277712699957192,250
4.edge,1,RLF,WholePrime,98,0.02077369997277856,250
4.edge,1,RLF,Quotient,98,0.10686829965561628,250
4.edge,1,RLF,WholeGraph,98,0.023273599799722433,250
4.edge,1,Greedy,WholePrime,99,0.0224867002107203,250
4.edge,1,Greedy,Quotient,99,0.10622449964284897,250
4.edge,1,Greedy,WholeGraph,99,0.05091720027849078,250
4.edge,1,DSatur,WholePrime,97,0.05244480026885867,250
4.edge,1,DSatur,Quotient,97,0.11522300029173493,250
4.edge,1,DSatur,WholeGraph,97,0.13135189982131124,250
4.edge,1,TabuCol,WholePrime,97,6.103450199589133,250
4.edge,1,TabuCol,Quotient,97,3.844756899867207,250
4.edge,1,TabuCol,WholeGraph,97,1.9882145998999476,250
5.edge,1,RLF,WholePrime,100,0.033373499754816294,250
5.edge,1,RLF,Quotient,100,0.3137670001015067,250
5.edge,1,RLF,WholeGraph,100,0.02469740016385913,250
5.edge,1,Greedy,WholePrime,102,0.04436410032212734,250
5.edge,1,Greedy,Quotient,100,0.3161782999522984,250
5.edge,1,Greedy,WholeGraph,102,0.04646379966288805,250
5.edge,1,DSatur,WholePrime,100,0.08634719997644424,250
5.edge,1,DSatur,Quotient,100,0.3227210002951324,250
5.edge,1,DSatur,WholeGraph,100,0.12746379990130663,250
5.edge,1,TabuCol,WholePrime,100,6.6014201999641955,250
5.edge,1,TabuCol,Quotient,100,3.23659300012514,250
5.edge,1,TabuCol,WholeGraph,100,1.1213728999719024,250
6.edge,1,RLF,WholePrime,128,0.024712299928069115,250
