Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
2.edge,1,DSatur,WholePrime,75,0.3885326995514333,750
2.edge,1,DSatur,Quotient,76,1.199636199977249,750
2.edge,1,DSatur,WholeGraph,75,1.3104225001297891,750
2.edge,1,TabuCol,WholePrime,75,23.342575800139457,750
2.edge,1,TabuCol,Quotient,76,8.5751948999241,750
2.edge,1,TabuCol,WholeGraph,77,8.314992900006473,750
3.edge,1,RLF,WholePrime,82,0.3717678003013134,750
3.edge,1,RLF,Quotient,81,2.4186547002755105,750
3.edge,1,RLF,WholeGraph,81,1.4621229995973408,750
3.edge,1,Greedy,WholePrime,92,0.25833259988576174,750
3.edge,1,Greedy,Quotient,84,2.5263573001138866,750
3.edge,1,Greedy,WholeGraph,93,0.2703241999261081,750
3.edge,1,DSatur,WholePrime,80,0.6472927001304924,750
3.edge,1,DSatur,Quotient,81,2.5730313998647034,750
3.edge,1,DSatur,WholeGraph,80,1.3294343003071845,750
3.edge,1,TabuCol,WholePrime,79,37.251894699875265,750
3.edge,1,TabuCol,Quotient,81,11.778528899885714,750
3.edge,1,TabuCol,WholeGraph,81,5.898809399921447,750
4.edge,1,RLF,WholePrime,42,0.10855320002883673,750
4.edge,1,RLF,Quotient,42,0.8172867000102997,750
4.edge,1,RLF,WholeGraph,44,1.4031471996568143,750
4.edge,1,Greedy,WholePrime,46,0.057401000056415796,750
4.edge,1,Greedy,Quotient,42,0.8171675000339746,750
4.edge,1,Greedy,WholeGraph,46,0.05527580017223954,750
4.edge,1,DSatur,WholePrime,42,0.17213519988581538,750
4.edge,1,DSatur,Quotient,42,0.9176281997933984,750
4.edge,1,DSatur,WholeGraph,42,0.3923385003581643,750
4.edge,1,TabuCol,WholePrime,41,13.080496999900788,750
4.edge,1,TabuCol,Quotient,42,4.14920759992674,750
4.edge,1,TabuCol,WholeGraph,44,7.4032653998583555,750
5.edge,1,RLF,WholePrime,114,0.4687171997502446,750
5.edge,1,RLF,Quotient,118,2.9718669997528195,750
5.edge,1,RLF,WholeGraph,115,1.3905486003495753,750
5.edge,1,Greedy,WholePrime,129,0.42113699996843934,750
5.edge,1,Greedy,Quotient,119,3.081018299795687,750
5.edge,1,Greedy,WholeGraph,129,0.5450418996624649,750
5.edge,1,DSatur,WholePrime,115,0.8684915998019278,750
5.edge,1,DSatur,Quotient,117,3.1957173999398947,750
5.edge,1,DSatur,WholeGraph,115,1.6156262001022696,750
5.edge,1,TabuCol,WholePrime,110,42.01217890018597,750
5.edge,1,TabuCol,Quotient,118,9.387721900362521,750
5.edge,1,TabuCol,WholeGraph,115,6.12376210000366,750
6.edge,1,RLF,WholePrime,102,1.0740894000045955,750
6.edge,1,RLF,Quotient,100,9.383463600184768,750
6.edge,1,RLF,WholeGraph,103,1.7468974003568292,750
6.edge,1,Greedy,WholePrime,113,0.5473432000726461,750
6.edge,1,Greedy,Quotient,100,9.206832899712026,750
6.edge,1,Greedy,WholeGraph,113,0.43623630004003644,750
6.edge,1,DSatur,WholePrime,99,1.056928999722004,750
6.edge,1,DSatur,Quotient,100,8.65998709993437,750
6.edge,1,DSatur,WholeGraph,99,1.1372150001116097,750
6.edge,1,TabuCol,WholePrime,96,19.754946999717504,750
6.edge,1,TabuCol,Quotient,100,9.401424399577081,750
6.edge,1,TabuCol,WholeGraph,103,5.3573027001693845,750
7.edge,1,RLF,WholePrime,124,0.29723670007660985,750
7.edge,1,RLF,Quotient,125,1.7804847001098096,750
7.edge,1,RLF,WholeGraph,124,0.5762526001781225,750
7.edge,1,Greedy,WholePrime,134,0.2065717000514269,750
7.edge,1,Greedy,Quotient,125,1.8280160003341734,750
7.edge,1,Greedy,WholeGraph,134,0.38613459980115294,750
7.edge,1,DSatur,WholePrime,122,0.4258363996632397,750
7.edge,1,DSatur,Quotient,124,1.8634919999167323,750
7.edge,1,DSatur,WholeGraph,122,1.0225406000390649,750
7.edge,1,TabuCol,WholePrime,120,19.1789422002621,750
7.edge,1,TabuCol,Quotient,124,7.9271486001089215,750
7.edge,1,TabuCol,WholeGraph,124,3.915735600050539,750
8.edge,1,RLF,WholePrime,93,0.7420020997524261,750
8.edge,1,RLF,Quotient,92,5.855383400339633,750
8.edge,1,RLF,WholeGraph,93,1.3645009999163449,750
8.edge,1,Greedy,WholePrime,103,0.41082669980823994,750
8.edge,1,Greedy,Quotient,94,6.0254307999275625,750
8.edge,1,Greedy,WholeGraph,105,0.5679818000644445,750
8.edge,1,DSatur,WholePrime,92,0.8974276999942958,750
8.edge,1,DSatur,Quotient,92,5.944951800163835,750
8.edge,1,DSatur,WholeGraph,92,1.4796941997483373,750
8.edge,1,TabuCol,WholePrime,89,28.23277619993314,750
8.edge,1,TabuCol,Quotient,92,9.8001878997311,750
8.edge,1,TabuCol,WholeGraph,93,4.90283520007506,750
9.edge,1,RLF,WholePrime,75,0.18339719995856285,750
9.edge,1,RLF,Quotient,74,0.9158324999734759,750
9.edge,1,RLF,WholeGraph,79,1.5095258001238108,750
9.edge,1,Greedy,WholePrime,85,0.1448925002478063,750
9.edge,1,Greedy,Quotient,77,0.9341814001090825,750
9.edge,1,Greedy,WholeGraph,84,0.16213900037109852,750
9.edge,1,DSatur,WholePrime,74,0.32806860003620386,750
9.edge,1,DSatur,Quotient,74,1.0398503998294473,750
9.edge,1,DSatur,WholeGraph,74,0.8326732004061341,750
9.edge,1,TabuCol,WholePrime,72,29.245648799929768,750
9.edge,1,TabuCol,Quotient,74,13.747933099977672,750
9.edge,1,TabuCol,WholeGraph,79,7.652066900394857,750
