Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,354,0.25936669996008277,750
0.edge,1,RLF,Quotient,354,1.5788638996891677,750
0.edge,1,RLF,WholeGraph,354,0.4379300996661186,750
0.edge,1,Greedy,WholePrime,362,0.2962688999250531,750
0.edge,1,Greedy,Quotient,357,1.5014375997707248,750
0.edge,1,Greedy,WholeGraph,362,1.5994075001217425,750
0.edge,1,DSatur,WholePrime,353,0.5158718996681273,750
0.edge,1,DSatur,Quotient,354,1.5228780000470579,750
0.edge,1,DSatur,WholeGraph,353,3.8388249003328383,750
0.edge,1,TabuCol,WholePrime,353,35.035307300277054,750
0.edge,1,TabuCol,Quotient,354,15.276386099867523,750
0.edge,1,TabuCol,WholeGraph,354,23.886675600428134,750
1.edge,1,RLF,WholePrime,275,0.2405401999130845,750
1.edge,1,RLF,Quotient,274,1.844577900134027,750
1.edge,1,RLF,WholeGraph,275,0.7387148002162576,750
1.edge,1,Greedy,WholePrime,282,0.2582602999173105,750
1.edge,1,Greedy,Quotient,276,1.7610062998719513,750
1.edge,1,Greedy,WholeGraph,280,1.2523230002261698,750
1.edge,1,DSatur,WholePrime,274,0.5096040000207722,750
1.edge,1,DSatur,Quotient,274,1.8938466999679804,750
1.edge,1,DSatur,WholeGraph,274,2.4092683997005224,750
1.edge,1,TabuCol,WholePrime,274,25.18894280027598,750
1.edge,1,TabuCol,Quotient,274,10.638968099839985,750
1.edge,1,TabuCol,WholeGraph,275,12.859733799938112,750
10.edge,1,RLF,WholePrime,282,0.2383984997868538,750
10.edge,1,RLF,Quotient,282,1.2667853999882936,750
10.edge,1,RLF,WholeGraph,282,0.41069009993225336,750
10.edge,1,Greedy,WholePrime,289,0.2526487996801734,750
10.edge,1,Greedy,Quotient,285,1.2715427000075579,750
10.edge,1,Greedy,WholeGraph,289,1.6075038998387754,750
10.edge,1,DSatur,WholePrime,282,0.4707661997526884,750
10.edge,1,DSatur,Quotient,282,1.373991800006479,750
10.edge,1,DSatur,WholeGraph,282,2.499820100143552,750
10.edge,1,TabuCol,WholePrime,281,40.15742600010708,750
10.edge,1,TabuCol,Quotient,282,21.86235490022227,750
10.edge,1,TabuCol,WholeGraph,282,14.087389800231904,750
11.edge,1,RLF,WholePrime,253,0.24748740019276738,750
11.edge,1,RLF,Quotient,253,1.944341900292784,750
11.edge,1,RLF,WholeGraph,252,0.7352469000034034,750
11.edge,1,Greedy,WholePrime,258,0.3366624996997416,750
11.edge,1,Greedy,Quotient,254,1.9459954998455942,750
11.edge,1,Greedy,WholeGraph,258,1.0781451002694666,750
11.edge,1,DSatur,WholePrime,253,0.5703902998939157,750
11.edge,1,DSatur,Quotient,253,1.9821191001683474,750
11.edge,1,DSatur,WholeGraph,253,3.49870130000636,750
11.edge,1,TabuCol,WholePrime,252,31.936746300198138,750
11.edge,1,TabuCol,Quotient,253,9.257404800038785,750
11.edge,1,TabuCol,WholeGraph,252,26.923986199777573,750
12.edge,1,RLF,WholePrime,290,0.1592910997569561,750
12.edge,1,RLF,Quotient,290,0.5980516001582146,750
12.edge,1,RLF,WholeGraph,290,0.6438929997384548,750
12.edge,1,Greedy,WholePrime,296,0.136030999943614,750
12.edge,1,Greedy,Quotient,296,0.5295597999356687,750
12.edge,1,Greedy,WholeGraph,295,1.3262547999620438,750
12.edge,1,DSatur,WholePrime,290,0.32082779984921217,750
12.edge,1,DSatur,Quotient,290,0.6520068999379873,750
12.edge,1,DSatur,WholeGraph,290,2.7170522999949753,750
12.edge,1,TabuCol,WholePrime,289,41.18327429983765,750
12.edge,1,TabuCol,Quotient,289,29.856321800034493,750
12.edge,1,TabuCol,WholeGraph,290,19.075518700294197,750
13.edge,1,RLF,WholePrime,389,0.30181620037183166,750
13.edge,1,RLF,Quotient,387,1.8683499000035226,750
13.edge,1,RLF,WholeGraph,389,0.22645119996741414,750
13.edge,1,Greedy,WholePrime,396,0.31146320002153516,750
13.edge,1,Greedy,Quotient,390,1.8490325002931058,750
13.edge,1,Greedy,WholeGraph,395,2.3821194996125996,750
13.edge,1,DSatur,WholePrime,387,0.6022681999020278,750
13.edge,1,DSatur,Quotient,387,1.9154306999407709,750
13.edge,1,DSatur,WholeGraph,387,3.0895577003248036,750
13.edge,1,TabuCol,WholePrime,387,39.98939420003444,750
13.edge,1,TabuCol,Quotient,387,20.588156799785793,750
13.edge,1,TabuCol,WholeGraph,389,22.792610100004822,750
14.edge,1,RLF,WholePrime,349,0.13443710003048182,750
14.edge,1,RLF,Quotient,350,0.8267570999450982,750
14.edge,1,RLF,WholeGraph,350,0.3434546999633312,750
14.edge,1,Greedy,WholePrime,351,0.13694810029119253,750
14.edge,1,Greedy,Quotient,352,0.814391499850899,750
14.edge,1,Greedy,WholeGraph,353,1.9999420000240207,750
14.edge,1,DSatur,WholePrime,349,0.28744620038196445,750
14.edge,1,DSatur,Quotient,350,0.8566491999663413,750
14.edge,1,DSatur,WholeGraph,349,3.141591399908066,750
14.edge,1,TabuCol,WholePrime,349,28.747504599858075,750
14.edge,1,TabuCol,Quotient,350,13.90917730005458,750
