Graph,RootType,Heuristic,Strategy,ColorCount,Time
0.edge,1,RLF,WholePrime,135,0.02367490017786622
0.edge,1,RLF,Quotient,135,0.027331100311130285
0.edge,1,RLF,WholeGraph,135,0.02043010015040636
0.edge,1,Greedy,WholePrime,139,0.0182733996771276
0.edge,1,Greedy,Quotient,139,0.021133200265467167
0.edge,1,Greedy,WholeGraph,139,0.07957509998232126
0.edge,1,DSatur,WholePrime,133,0.046396699734032154
0.edge,1,DSatur,Quotient,133,0.04569419985637069
0.edge,1,DSatur,WholeGraph,133,0.21881480002775788
0.edge,1,TabuCol,WholePrime,133,6.781808800064027
0.edge,1,TabuCol,Quotient,133,5.114978599827737
0.edge,1,TabuCol,WholeGraph,135,2.108336600009352
1.edge,1,RLF,WholePrime,83,0.011927200015634298
1.edge,1,RLF,Quotient,83,0.011819500010460615
1.edge,1,RLF,WholeGraph,83,0.04998829960823059
1.edge,1,Greedy,WholePrime,84,0.007431599777191877
1.edge,1,Greedy,Quotient,84,0.005950599908828735
1.edge,1,Greedy,WholeGraph,84,0.034159399569034576
1.edge,1,DSatur,WholePrime,83,0.02228420041501522
1.edge,1,DSatur,Quotient,83,0.022579799871891737
1.edge,1,DSatur,WholeGraph,83,0.09439399978145957
1.edge,1,TabuCol,WholePrime,83,4.492830500006676
1.edge,1,TabuCol,Quotient,83,5.081646699924022
1.edge,1,TabuCol,WholeGraph,83,1.0411783996969461
10.edge,1,RLF,WholePrime,114,0.013541200198233128
10.edge,1,RLF,Quotient,114,0.013611000031232834
10.edge,1,RLF,WholeGraph,114,0.03556889994069934
10.edge,1,Greedy,WholePrime,114,0.008108099922537804
10.edge,1,Greedy,Quotient,114,0.007981500122696161
10.edge,1,Greedy,WholeGraph,114,0.0599155998788774
10.edge,1,DSatur,WholePrime,114,0.022274000104516745
10.edge,1,DSatur,Quotient,114,0.02594320010393858
10.edge,1,DSatur,WholeGraph,114,0.20614870032295585
10.edge,1,TabuCol,WholePrime,114,3.2511420999653637
10.edge,1,TabuCol,Quotient,114,3.231009800452739
10.edge,1,TabuCol,WholeGraph,114,2.346532199997455
11.edge,1,RLF,WholePrime,91,0.01621419982984662
11.edge,1,RLF,Quotient,91,0.015207000076770782
11.edge,1,RLF,WholeGraph,91,0.03090080013498664
11.edge,1,Greedy,WholePrime,95,0.008853599894791842
11.edge,1,Greedy,Quotient,95,0.008352499920874834
11.edge,1,Greedy,WholeGraph,95,0.046799200121313334
11.edge,1,DSatur,WholePrime,91,0.03178739966824651
11.edge,1,DSatur,Quotient,91,0.03402440017089248
11.edge,1,DSatur,WholeGraph,91,0.12597020016983151
11.edge,1,TabuCol,WholePrime,91,7.227633999660611
11.edge,1,TabuCol,Quotient,91,5.258217099588364
11.edge,1,TabuCol,WholeGraph,91,1.167636299971491
12.edge,1,RLF,WholePrime,96,0.015167699661105871
12.edge,1,RLF,Quotient,96,0.015587999951094389
12.edge,1,RLF,WholeGraph,96,0.026911099907010794
12.edge,1,Greedy,WholePrime,98,0.013272800017148256
12.edge,1,Greedy,Quotient,98,0.013548399787396193
12.edge,1,Greedy,WholeGraph,97,0.041915399953722954
12.edge,1,DSatur,WholePrime,96,0.029660699889063835
12.edge,1,DSatur,Quotient,96,0.03291509998962283
12.edge,1,DSatur,WholeGraph,96,0.13053910015150905
12.edge,1,TabuCol,WholePrime,96,5.793663400225341
12.edge,1,TabuCol,Quotient,96,5.834449999965727
12.edge,1,TabuCol,WholeGraph,96,1.037525599822402
13.edge,1,RLF,WholePrime,121,0.00970890000462532
13.edge,1,RLF,Quotient,121,0.00986640015617013
13.edge,1,RLF,WholeGraph,121,0.04334549978375435
13.edge,1,Greedy,WholePrime,123,0.0057586003094911575
13.edge,1,Greedy,Quotient,123,0.006672299932688475
13.edge,1,Greedy,WholeGraph,123,0.06696700025349855
13.edge,1,DSatur,WholePrime,121,0.016967199742794037
13.edge,1,DSatur,Quotient,121,0.01865650014951825
13.edge,1,DSatur,WholeGraph,121,0.23905079998075962
13.edge,1,TabuCol,WholePrime,121,4.710896099917591
13.edge,1,TabuCol,Quotient,121,4.491942099761218
13.edge,1,TabuCol,WholeGraph,121,3.591403499711305
14.edge,1,RLF,WholePrime,154,0.005241400096565485
14.edge,1,RLF,Quotient,154,0.005696399603039026
14.edge,1,RLF,WholeGraph,154,0.017711099702864885
14.edge,1,Greedy,WholePrime,155,0.0022292998619377613
14.edge,1,Greedy,Quotient,155,0.0032882001250982285
14.edge,1,Greedy,WholeGraph,155,0.09742179978638887
14.edge,1,DSatur,WholePrime,154,0.009878399781882763
14.edge,1,DSatur,Quotient,154,0.009503900073468685
14.edge,1,DSatur,WholeGraph,154,0.18825979996472597
14.edge,1,TabuCol,WholePrime,154,2.2837213003076613
14.edge,1,TabuCol,Quotient,154,2.21280620014295
14.edge,1,TabuCol,WholeGraph,154,2.361646099947393
2.edge,1,RLF,WholePrime,65,0.008136800024658442
2.edge,1,RLF,Quotient,65,0.006641100160777569
2.edge,1,RLF,WholeGraph,65,0.053655900061130524
2.edge,1,Greedy,WholePrime,65,0.005682200193405151
2.edge,1,Greedy,Quotient,65,0.005120899993926287
2.edge,1,Greedy,WholeGraph,65,0.026996899861842394
2.edge,1,DSatur,WholePrime,65,0.013996799942106009
2.edge,1,DSatur,Quotient,65,0.01183500001206994
2.edge,1,DSatur,WholeGraph,65,0.07840139977633953
2.edge,1,TabuCol,WholePrime,65,3.1984486002475023
2.edge,1,TabuCol,Quotient,65,3.4416819997131824
2.edge,1,TabuCol,WholeGraph,65,0.9162582997232676
3.edge,1,RLF,WholePrime,69,0.014076199848204851
3.edge,1,RLF,Quotient,69,0.012982800137251616
3.edge,1,RLF,WholeGraph,69,0.05676170019432902
3.edge,1,Greedy,WholePrime,69,0.011260800063610077
3.edge,1,Greedy,Quotient,69,0.010099599603563547
3.edge,1,Greedy,WholeGraph,69,0.027448799926787615
3.edge,1,DSatur,WholePrime,69,0.02437600027769804
3.edge,1,DSatur,Quotient,69,0.02520619984716177
3.edge,1,DSatur,WholeGraph,69,0.10826370026916265
3.edge,1,TabuCol,WholePrime,69,5.249543400015682
3.edge,1,TabuCol,Quotient,69,5.584989900235087
3.edge,1,TabuCol,WholeGraph,69,1.144692000001669
4.edge,1,RLF,WholePrime,147,0.007990399841219187
4.edge,1,RLF,Quotient,147,0.007353299763053656
4.edge,1,RLF,WholeGraph,147,0.0145388999953866
4.edge,1,Greedy,WholePrime,147,0.0026862001977860928
4.edge,1,Greedy,Quotient,147,0.004666800145059824
4.edge,1,Greedy,WholeGraph,147,0.11046750005334616
4.edge,1,DSatur,WholePrime,147,0.014298300258815289
4.edge,1,DSatur,Quotient,147,0.013938500080257654
4.edge,1,DSatur,WholeGraph,147,0.1991538000293076
4.edge,1,TabuCol,WholePrime,147,4.311768400017172
4.edge,1,TabuCol,Quotient,147,3.035510499961674
4.edge,1,TabuCol,WholeGraph,147,1.5642215004190803
5.edge,1,RLF,WholePrime,83,0.015116799622774124
5.edge,1,RLF,Quotient,83,0.01714120013639331
5.edge,1,RLF,WholeGraph,83,0.03889900026842952
5.edge,1,Greedy,WholePrime,85,0.010193000081926584
5.edge,1,Greedy,Quotient,85,0.014586499892175198
5.edge,1,Greedy,WholeGraph,85,0.0388928996399045
5.edge,1,DSatur,WholePrime,82,0.033028699923306704
5.edge,1,DSatur,Quotient,82,0.03500989964231849
5.edge,1,DSatur,WholeGraph,82,0.11333450023084879
5.edge,1,TabuCol,WholePrime,82,6.79225069982931
5.edge,1,TabuCol,Quotient,82,5.496035300195217
5.edge,1,TabuCol,WholeGraph,83,0.8414857001043856
6.edge,1,RLF,WholePrime,123,0.01359300035983324
6.edge,1,RLF,Quotient,123,0.013829899951815605
6.edge,1,RLF,WholeGraph,123,0.020281200297176838
6.edge,1,Greedy,WholePrime,126,0.01165239978581667
6.edge,1,Greedy,Quotient,126,0.011510200332850218
6.edge,1,Greedy,WholeGraph,125,0.07277869991958141
6.edge,1,DSatur,WholePrime,123,0.02966320002451539
6.edge,1,DSatur,Quotient,123,0.026770399883389473
6.edge,1,DSatur,WholeGraph,123,0.1729723997414112
6.edge,1,TabuCol,WholePrime,123,6.223317899741232
6.edge,1,TabuCol,Quotient,123,4.600939100142568
6.edge,1,TabuCol,WholeGraph,123,1.7474150997586548
7.edge,1,RLF,WholePrime,111,0.006807100027799606
7.edge,1,RLF,Quotient,111,0.007539799902588129
7.edge,1,RLF,WholeGraph,111,0.030664000194519758
7.edge,1,Greedy,WholePrime,111,0.008648200426250696
