Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,162,0.13616900006309152,500
0.edge,1,RLF,Quotient,162,1.3186384998261929,500
0.edge,1,RLF,WholeGraph,162,0.19607399962842464,500
0.edge,1,Greedy,WholePrime,175,0.18883210001513362,500
0.edge,1,Greedy,Quotient,166,1.2995703998021781,500
0.edge,1,Greedy,WholeGraph,174,0.327759699895978,500
0.edge,1,DSatur,WholePrime,163,0.33296529995277524,500
0.edge,1,DSatur,Quotient,162,1.3648335998877883,500
0.edge,1,DSatur,WholeGraph,163,0.9260108000598848,500
0.edge,1,TabuCol,WholePrime,162,15.873323899693787,500
0.edge,1,TabuCol,Quotient,162,8.79438540013507,500
0.edge,1,TabuCol,WholeGraph,162,6.081692600157112,500
1.edge,1,RLF,WholePrime,193,0.08950900007039309,500
1.edge,1,RLF,Quotient,193,0.7750913999043405,500
1.edge,1,RLF,WholeGraph,193,0.23206839989870787,500
1.edge,1,Greedy,WholePrime,198,0.11455229995772243,500
1.edge,1,Greedy,Quotient,196,0.7960156998597085,500
1.edge,1,Greedy,WholeGraph,197,0.35027460008859634,500
1.edge,1,DSatur,WholePrime,193,0.22738670045509934,500
1.edge,1,DSatur,Quotient,193,0.7893911004066467,500
1.edge,1,DSatur,WholeGraph,193,1.1493734000250697,500
1.edge,1,TabuCol,WholePrime,193,11.272433599922806,500
1.edge,1,TabuCol,Quotient,193,7.211313699837774,500
1.edge,1,TabuCol,WholeGraph,193,8.375899499747902,500
10.edge,1,RLF,WholePrime,222,0.10483680013567209,500
10.edge,1,RLF,Quotient,222,0.7091087000444531,500
10.edge,1,RLF,WholeGraph,222,0.15469460003077984,500
10.edge,1,Greedy,WholePrime,228,0.08796790009364486,500
10.edge,1,Greedy,Quotient,224,0.7489672000519931,500
10.edge,1,Greedy,WholeGraph,229,0.428311999887228,500
10.edge,1,DSatur,WholePrime,222,0.236007499974221,500
10.edge,1,DSatur,Quotient,222,0.80201860005036,500
10.edge,1,DSatur,WholeGraph,222,1.2466871999204159,500
10.edge,1,TabuCol,WholePrime,222,18.006225999910384,500
10.edge,1,TabuCol,Quotient,222,8.539403099566698,500
10.edge,1,TabuCol,WholeGraph,222,7.055567500181496,500
11.edge,1,RLF,WholePrime,242,0.2689452995546162,500
11.edge,1,RLF,Quotient,243,3.0713235000148416,500
11.edge,1,RLF,WholeGraph,242,0.10175119992345572,500
11.edge,1,Greedy,WholePrime,255,0.38464789977297187,500
11.edge,1,Greedy,Quotient,244,3.0011720000766218,500
11.edge,1,Greedy,WholeGraph,255,0.5380216999910772,500
11.edge,1,DSatur,WholePrime,243,0.5694583998993039,500
11.edge,1,DSatur,Quotient,243,2.9052726002410054,500
11.edge,1,DSatur,WholeGraph,243,1.4453338999301195,500
11.edge,1,TabuCol,WholePrime,241,15.609323000069708,500
11.edge,1,TabuCol,Quotient,243,6.750766700133681,500
11.edge,1,TabuCol,WholeGraph,242,9.986515100114048,500
12.edge,1,RLF,WholePrime,221,0.23615830019116402,500
12.edge,1,RLF,Quotient,223,2.472640300169587,500
12.edge,1,RLF,WholeGraph,221,0.10818039998412132,500
12.edge,1,Greedy,WholePrime,233,0.2383628999814391,500
12.edge,1,Greedy,Quotient,224,2.439805599860847,500
12.edge,1,Greedy,WholeGraph,231,0.5678592002950609,500
12.edge,1,DSatur,WholePrime,222,0.4602250000461936,500
12.edge,1,DSatur,Quotient,223,2.539460000116378,500
12.edge,1,DSatur,WholeGraph,222,1.2110713999718428,500
12.edge,1,TabuCol,WholePrime,221,15.155031399801373,500
12.edge,1,TabuCol,Quotient,223,5.883008900098503,500
12.edge,1,TabuCol,WholeGraph,221,9.1303405999206,500
13.edge,1,RLF,WholePrime,220,0.14606470009312034,500
13.edge,1,RLF,Quotient,220,1.3392555001191795,500
13.edge,1,RLF,WholeGraph,220,0.15785970026627183,500
13.edge,1,Greedy,WholePrime,226,0.18976520001888275,500
13.edge,1,Greedy,Quotient,220,1.3356474000029266,500
13.edge,1,Greedy,WholeGraph,226,0.48163910023868084,500
13.edge,1,DSatur,WholePrime,220,0.32809909991919994,500
13.edge,1,DSatur,Quotient,220,1.3812565999105573,500
13.edge,1,DSatur,WholeGraph,220,1.5587610001675785,500
13.edge,1,TabuCol,WholePrime,220,20.88504800014198,500
13.edge,1,TabuCol,Quotient,220,6.961956600192934,500
13.edge,1,TabuCol,WholeGraph,220,10.576333099976182,500
14.edge,1,RLF,WholePrime,186,0.18308980017900467,500
14.edge,1,RLF,Quotient,186,1.7780666002072394,500
14.edge,1,RLF,WholeGraph,186,0.16913019958883524,500
14.edge,1,Greedy,WholePrime,191,0.16019999980926514,500
14.edge,1,Greedy,Quotient,187,1.8139753001742065,500
14.edge,1,Greedy,WholeGraph,191,0.45129629969596863,500
14.edge,1,DSatur,WholePrime,186,0.3206853996962309,500
14.edge,1,DSatur,Quotient,186,1.8357536997646093,500
14.edge,1,DSatur,WholeGraph,186,1.0562279997393489,500
14.edge,1,TabuCol,WholePrime,185,19.737541699782014,500
14.edge,1,TabuCol,Quotient,186,6.890586799941957,500
14.edge,1,TabuCol,WholeGraph,186,6.562802199739963,500
2.edge,1,RLF,WholePrime,172,0.08381820004433393,500
2.edge,1,RLF,Quotient,172,0.8394563999027014,500
2.edge,1,RLF,WholeGraph,172,0.17779630003497005,500
2.edge,1,Greedy,WholePrime,173,0.07530349958688021,500
2.edge,1,Greedy,Quotient,172,0.8009604997932911,500
2.edge,1,Greedy,WholeGraph,173,0.25780180003494024,500
2.edge,1,DSatur,WholePrime,172,0.1826014998368919,500
2.edge,1,DSatur,Quotient,172,0.8079285998828709,500
2.edge,1,DSatur,WholeGraph,172,0.745027800090611,500
2.edge,1,TabuCol,WholePrime,172,10.61663610022515,500
2.edge,1,TabuCol,Quotient,172,4.109137800056487,500
2.edge,1,TabuCol,WholeGraph,172,6.911010299809277,500
3.edge,1,RLF,WholePrime,209,0.10554920043796301,500
3.edge,1,RLF,Quotient,209,1.2660900000482798,500
3.edge,1,RLF,WholeGraph,209,0.12850920017808676,500
3.edge,1,Greedy,WholePrime,213,0.17101219994947314,500
3.edge,1,Greedy,Quotient,210,1.2397799002937973,500
3.edge,1,Greedy,WholeGraph,215,0.43333370005711913,500
3.edge,1,DSatur,WholePrime,209,0.29319259990006685,500
3.edge,1,DSatur,Quotient,209,1.2921229000203311,500
3.edge,1,DSatur,WholeGraph,209,1.0993511998094618,500
3.edge,1,TabuCol,WholePrime,209,10.566848499700427,500
3.edge,1,TabuCol,Quotient,209,4.386512499768287,500
3.edge,1,TabuCol,WholeGraph,209,9.779138000216335,500
4.edge,1,RLF,WholePrime,129,0.07574750017374754,500
4.edge,1,RLF,Quotient,129,0.7412294996902347,500
4.edge,1,RLF,WholeGraph,129,0.5331868999637663,500
4.edge,1,Greedy,WholePrime,132,0.09347289986908436,500
4.edge,1,Greedy,Quotient,130,0.7452745996415615,500
4.edge,1,Greedy,WholeGraph,132,0.1473899995908141,500
4.edge,1,DSatur,WholePrime,129,0.1863842997699976,500
4.edge,1,DSatur,Quotient,129,0.790822200011462,500
4.edge,1,DSatur,WholeGraph,129,0.3646022998727858,500
4.edge,1,TabuCol,WholePrime,129,13.606668199878186,500
4.edge,1,TabuCol,Quotient,129,6.22503300011158,500
4.edge,1,TabuCol,WholeGraph,129,6.081570600159466,500
5.edge,1,RLF,WholePrime,233,0.0585869001224637,500
5.edge,1,RLF,Quotient,234,0.3123027002438903,500
5.edge,1,RLF,WholeGraph,233,0.15544569958001375,500
5.edge,1,Greedy,WholePrime,233,0.03723560040816665,500
5.edge,1,Greedy,Quotient,234,0.3145988001488149,500
5.edge,1,Greedy,WholeGraph,233,0.3850178001448512,500
5.edge,1,DSatur,WholePrime,234,0.109043899923563,500
5.edge,1,DSatur,Quotient,234,0.3374256999231875,500
5.edge,1,DSatur,WholeGraph,234,0.8988580997101963,500
5.edge,1,TabuCol,WholePrime,233,11.586656999774277,500
5.edge,1,TabuCol,Quotient,234,6.151518700178713,500
5.edge,1,TabuCol,WholeGraph,233,11.175309999845922,500
6.edge,1,RLF,WholePrime,248,0.18461599992588162,500
6.edge,1,RLF,Quotient,249,2.221818400081247,500
6.edge,1,RLF,WholeGraph,248,0.10367320012301207,500
6.edge,1,Greedy,WholePrime,258,0.3347052000463009,500
6.edge,1,Greedy,Quotient,250,2.31604399997741,500
6.edge,1,Greedy,WholeGraph,258,0.56521480018273,500
6.edge,1,DSatur,WholePrime,248,0.4786785002797842,500
6.edge,1,DSatur,Quotient,249,2.3106530997902155,500
6.edge,1,DSatur,WholeGraph,248,1.4512999998405576,500
6.edge,1,TabuCol,WholePrime,248,11.8264248999767,500
6.edge,1,TabuCol,Quotient,249,4.083144400268793,500
6.edge,1,TabuCol,WholeGraph,248,12.778627700172365,500
7.edge,1,RLF,WholePrime,131,0.1399432998150587,500
7.edge,1,RLF,Quotient,131,1.5319452998228371,500
7.edge,1,RLF,WholeGraph,131,0.42471239995211363,500
7.edge,1,Greedy,WholePrime,136,0.23269749991595745,500
7.edge,1,Greedy,Quotient,131,1.5505158002488315,500
7.edge,1,Greedy,WholeGraph,138,0.1516459002159536,500
7.edge,1,DSatur,WholePrime,130,0.3728121002204716,500
7.edge,1,DSatur,Quotient,131,1.601745800115168,500
