Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,459,0.45845349971204996,1000
0.edge,1,RLF,Quotient,460,6.758885299786925,1000
0.edge,1,RLF,WholeGraph,459,0.38313290011137724,1000
0.edge,1,Greedy,WholePrime,475,1.0384774999693036,1000
0.edge,1,Greedy,Quotient,461,6.6668372000567615,1000
0.edge,1,Greedy,WholeGraph,474,2.8122522002086043,1000
0.edge,1,DSatur,WholePrime,459,1.3930375999771059,1000
0.edge,1,DSatur,Quotient,460,6.616793400142342,1000
0.edge,1,DSatur,WholeGraph,459,5.58054139977321,1000
0.edge,1,TabuCol,WholePrime,459,24.545938099734485,1000
0.edge,1,TabuCol,Quotient,460,14.726369599811733,1000
0.edge,1,TabuCol,WholeGraph,459,41.18444549990818,1000
1.edge,1,RLF,WholePrime,191,0.7539322995580733,1000
1.edge,1,RLF,Quotient,191,11.507420200388879,1000
1.edge,1,RLF,WholeGraph,193,2.7228115000762045,1000
1.edge,1,Greedy,WholePrime,205,1.0127183999866247,1000
1.edge,1,Greedy,Quotient,191,11.772278499789536,1000
1.edge,1,Greedy,WholeGraph,205,0.7287825001403689,1000
1.edge,1,DSatur,WholePrime,193,1.5398007999174297,1000
1.edge,1,DSatur,Quotient,191,12.341562500223517,1000
1.edge,1,DSatur,WholeGraph,193,2.4995336001738906,1000
1.edge,1,TabuCol,WholePrime,185,36.352023700252175,1000
1.edge,1,TabuCol,Quotient,191,19.803462100215256,1000
1.edge,1,TabuCol,WholeGraph,193,15.945901799947023,1000
10.edge,1,RLF,WholePrime,232,0.1300377999432385,1000
10.edge,1,RLF,Quotient,232,4.744650099892169,1000
10.edge,1,RLF,WholeGraph,232,1.3081657998263836,1000
10.edge,1,Greedy,WholePrime,233,0.4913165997713804,1000
10.edge,1,Greedy,Quotient,232,4.64845270011574,1000
10.edge,1,Greedy,WholeGraph,233,0.5641615996137261,1000
10.edge,1,DSatur,WholePrime,232,0.6434229002334177,1000
10.edge,1,DSatur,Quotient,232,4.778068600222468,1000
10.edge,1,DSatur,WholeGraph,232,1.7699689003638923,1000
10.edge,1,TabuCol,WholePrime,232,8.499676800332963,1000
10.edge,1,TabuCol,Quotient,232,6.805375600233674,1000
10.edge,1,TabuCol,WholeGraph,232,15.454004100058228,1000
11.edge,1,RLF,WholePrime,379,1.3146865000016987,1000
11.edge,1,RLF,Quotient,377,19.627484600059688,1000
11.edge,1,RLF,WholeGraph,376,0.7401085002347827,1000
11.edge,1,Greedy,WholePrime,396,1.556520499754697,1000
11.edge,1,Greedy,Quotient,378,19.958613499999046,1000
11.edge,1,Greedy,WholeGraph,400,4.529201699886471,1000
11.edge,1,DSatur,WholePrime,375,2.4443485997617245,1000
11.edge,1,DSatur,Quotient,378,19.54004120035097,1000
11.edge,1,DSatur,WholeGraph,375,7.627633399795741,1000
11.edge,1,TabuCol,WholePrime,376,43.166536500211805,1000
11.edge,1,TabuCol,Quotient,377,22.382530799601227,1000
11.edge,1,TabuCol,WholeGraph,376,32.333769199904054,1000
12.edge,1,RLF,WholePrime,367,0.7719510002061725,1000
12.edge,1,RLF,Quotient,365,15.967279100324959,1000
12.edge,1,RLF,WholeGraph,366,1.2949418001808226,1000
12.edge,1,Greedy,WholePrime,376,1.2877021003514528,1000
12.edge,1,Greedy,Quotient,365,15.968728700187057,1000
12.edge,1,Greedy,WholeGraph,376,3.203749699983746,1000
12.edge,1,DSatur,WholePrime,366,1.7863076999783516,1000
12.edge,1,DSatur,Quotient,365,15.44155150000006,1000
12.edge,1,DSatur,WholeGraph,366,6.126769999973476,1000
12.edge,1,TabuCol,WholePrime,364,13.330162199679762,1000
12.edge,1,TabuCol,Quotient,365,14.437380000017583,1000
12.edge,1,TabuCol,WholeGraph,366,34.00332299992442,1000
13.edge,1,RLF,WholePrime,399,0.9972727997228503,1000
13.edge,1,RLF,Quotient,400,13.626513499766588,1000
13.edge,1,RLF,WholeGraph,399,1.0617080996744335,1000
13.edge,1,Greedy,WholePrime,413,1.4622275000438094,1000
13.edge,1,Greedy,Quotient,402,13.737099000252783,1000
13.edge,1,Greedy,WholeGraph,414,3.5869165998883545,1000
13.edge,1,DSatur,WholePrime,396,2.4310281998477876,1000
13.edge,1,DSatur,Quotient,400,13.950522899627686,1000
13.edge,1,DSatur,WholeGraph,396,8.496130499988794,1000
13.edge,1,TabuCol,WholePrime,393,56.66858950024471,1000
13.edge,1,TabuCol,Quotient,400,25.81615399988368,1000
13.edge,1,TabuCol,WholeGraph,399,32.968226300086826,1000
14.edge,1,RLF,WholePrime,202,0.9655597996897995,1000
14.edge,1,RLF,Quotient,204,15.926642100326717,1000
14.edge,1,RLF,WholeGraph,203,2.138541600201279,1000
14.edge,1,Greedy,WholePrime,210,0.9786702999845147,1000
14.edge,1,Greedy,Quotient,205,15.88785219984129,1000
14.edge,1,Greedy,WholeGraph,210,0.9049794003367424,1000
14.edge,1,DSatur,WholePrime,204,1.6132243000902236,1000
14.edge,1,DSatur,Quotient,204,16.124026599805802,1000
14.edge,1,DSatur,WholeGraph,204,2.1979016000404954,1000
14.edge,1,TabuCol,WholePrime,198,31.17547529982403,1000
14.edge,1,TabuCol,Quotient,204,19.94311019964516,1000
14.edge,1,TabuCol,WholeGraph,203,15.547491000033915,1000
2.edge,1,RLF,WholePrime,350,0.9541347003541887,1000
2.edge,1,RLF,Quotient,349,19.802448200061917,1000
2.edge,1,RLF,WholeGraph,351,1.3018920999020338,1000
2.edge,1,Greedy,WholePrime,367,2.4224546998739243,1000
2.edge,1,Greedy,Quotient,349,19.00113009987399,1000
2.edge,1,Greedy,WholeGraph,367,2.8465889003127813,1000
2.edge,1,DSatur,WholePrime,349,3.1429364001378417,1000
2.edge,1,DSatur,Quotient,349,18.014094800222665,1000
2.edge,1,DSatur,WholeGraph,349,6.661256100051105,1000
2.edge,1,TabuCol,WholePrime,349,36.88257719995454,1000
2.edge,1,TabuCol,Quotient,349,21.91811989992857,1000
2.edge,1,TabuCol,WholeGraph,351,27.481576499994844,1000
3.edge,1,RLF,WholePrime,301,0.9108396000228822,1000
3.edge,1,RLF,Quotient,300,16.939691899809986,1000
3.edge,1,RLF,WholeGraph,300,0.7579358001239598,1000
3.edge,1,Greedy,WholePrime,316,1.5134880999103189,1000
3.edge,1,Greedy,Quotient,302,16.351924100425094,1000
3.edge,1,Greedy,WholeGraph,319,1.5915152998641133,1000
3.edge,1,DSatur,WholePrime,298,2.290967000182718,1000
3.edge,1,DSatur,Quotient,299,16.67349369963631,1000
3.edge,1,DSatur,WholeGraph,298,4.632406400050968,1000
3.edge,1,TabuCol,WholePrime,299,30.47662220010534,1000
3.edge,1,TabuCol,Quotient,299,22.336988700088114,1000
3.edge,1,TabuCol,WholeGraph,300,34.08559460006654,1000
4.edge,1,RLF,WholePrime,246,0.40641940012574196,1000
4.edge,1,RLF,Quotient,247,7.456611599773169,1000
4.edge,1,RLF,WholeGraph,247,3.1047880998812616,1000
4.edge,1,Greedy,WholePrime,251,0.6298664002679288,1000
4.edge,1,Greedy,Quotient,247,7.66146370023489,1000
4.edge,1,Greedy,WholeGraph,251,1.0394311002455652,1000
4.edge,1,DSatur,WholePrime,244,0.9231317001394928,1000
4.edge,1,DSatur,Quotient,247,7.961741600185633,1000
4.edge,1,DSatur,WholeGraph,244,3.1758835003711283,1000
4.edge,1,TabuCol,WholePrime,245,16.986627799924463,1000
4.edge,1,TabuCol,Quotient,247,12.138012900017202,1000
4.edge,1,TabuCol,WholeGraph,247,21.593650300055742,1000
5.edge,1,RLF,WholePrime,497,1.2141187000088394,1000
5.edge,1,RLF,Quotient,494,19.527345899958163,1000
5.edge,1,RLF,WholeGraph,496,0.596083200071007,1000
5.edge,1,Greedy,WholePrime,521,1.3465211000293493,1000
5.edge,1,Greedy,Quotient,494,19.687684000004083,1000
5.edge,1,Greedy,WholeGraph,522,4.475311100017279,1000
5.edge,1,DSatur,WholePrime,494,2.010178499855101,1000
5.edge,1,DSatur,Quotient,494,18.172678800299764,1000
5.edge,1,DSatur,WholeGraph,494,9.919936200138181,1000
5.edge,1,TabuCol,WholePrime,496,32.44356399960816,1000
5.edge,1,TabuCol,Quotient,494,17.394016900099814,1000
5.edge,1,TabuCol,WholeGraph,496,56.11432689987123,1000
6.edge,1,RLF,WholePrime,360,0.3732099998742342,1000
6.edge,1,RLF,Quotient,360,5.186963899992406,1000
6.edge,1,RLF,WholeGraph,360,1.332671099808067,1000
6.edge,1,Greedy,WholePrime,367,0.8056787997484207,1000
6.edge,1,Greedy,Quotient,360,5.195340200327337,1000
6.edge,1,Greedy,WholeGraph,367,2.176001299638301,1000
6.edge,1,DSatur,WholePrime,358,1.2568524000234902,1000
6.edge,1,DSatur,Quotient,360,4.96885919990018,1000
6.edge,1,DSatur,WholeGraph,358,3.4804581999778748,1000
6.edge,1,TabuCol,WholePrime,358,32.26972689991817,1000
6.edge,1,TabuCol,Quotient,360,14.191257700324059,1000
6.edge,1,TabuCol,WholeGraph,360,21.550026300363243,1000
7.edge,1,RLF,WholePrime,258,0.7952919998206198,1000
7.edge,1,RLF,Quotient,261,10.693981800228357,1000
7.edge,1,RLF,WholeGraph,260,3.3925458998419344,1000
7.edge,1,Greedy,WholePrime,267,1.177945100236684,1000
7.edge,1,Greedy,Quotient,263,10.307768099941313,1000
7.edge,1,Greedy,WholeGraph,269,2.0769337001256645,1000
7.edge,1,DSatur,WholePrime,259,1.8800331996753812,1000
7.edge,1,DSatur,Quotient,261,10.010228199884295,1000
7.edge,1,DSatur,WholeGraph,259,4.021979100070894,1000
7.edge,1,TabuCol,WholePrime,258,47.894452599808574,1000
7.edge,1,TabuCol,Quotient,261,15.864597300067544,1000
7.edge,1,TabuCol,WholeGraph,260,14.083461199887097,1000
8.edge,1,RLF,WholePrime,402,0.42596019990742207,1000
8.edge,1,RLF,Quotient,402,5.903274099808186,1000
8.edge,1,RLF,WholeGraph,402,1.0056748003698885,1000
8.edge,1,Greedy,WholePrime,405,0.8304208000190556,1000
8.edge,1,Greedy,Quotient,403,6.048206199891865,1000
8.edge,1,Greedy,WholeGraph,406,2.3406877000816166,1000
8.edge,1,DSatur,WholePrime,401,1.1621098001487553,1000
8.edge,1,DSatur,Quotient,402,5.982654800172895,1000
8.edge,1,DSatur,WholeGraph,401,4.144455499947071,1000
8.edge,1,TabuCol,WholePrime,402,37.64814590010792,1000
8.edge,1,TabuCol,Quotient,402,22.56790699996054,1000
8.edge,1,TabuCol,WholeGraph,402,42.96079639997333,1000
9.edge,1,RLF,WholePrime,386,0.667421099729836,1000
9.edge,1,RLF,Quotient,387,6.55353150004521,1000
9.edge,1,RLF,WholeGraph,387,0.87741560023278,1000
9.edge,1,Greedy,WholePrime,394,0.7096907002851367,1000
9.edge,1,Greedy,Quotient,388,6.578006600029767,1000
9.edge,1,Greedy,WholeGraph,396,4.3210871000774205,1000
9.edge,1,DSatur,WholePrime,386,1.274114899802953,1000
9.edge,1,DSatur,Quotient,387,7.0166163998655975,1000
9.edge,1,DSatur,WholeGraph,386,7.872559300158173,1000
9.edge,1,TabuCol,WholePrime,385,54.5279973000288,1000
9.edge,1,TabuCol,Quotient,387,30.933689600322396,1000
9.edge,1,TabuCol,WholeGraph,387,48.732073000166565,1000
