Graph,RootType,Heuristic,Strategy,ColorCount,Time
0.edge,1,RLF,WholePrime,78,0.06844170019030571
0.edge,1,RLF,Quotient,77,0.35659119999036193
0.edge,1,RLF,WholeGraph,78,0.021648299880325794
0.edge,1,Greedy,WholePrime,84,0.05742690013721585
0.edge,1,Greedy,Quotient,79,0.36222600005567074
0.edge,1,Greedy,WholeGraph,85,0.04254879988729954
0.edge,1,DSatur,WholePrime,75,0.12020799983292818
0.edge,1,DSatur,Quotient,76,0.3851341004483402
0.edge,1,DSatur,WholeGraph,75,0.14843199960887432
0.edge,1,TabuCol,WholePrime,74,7.422000700142235
0.edge,1,TabuCol,Quotient,76,2.473193199839443
0.edge,1,TabuCol,WholeGraph,78,0.8836483000777662
1.edge,1,RLF,WholePrime,20,0.005176099948585033
1.edge,1,RLF,Quotient,20,0.0054882001131772995
1.edge,1,RLF,WholeGraph,20,0.084340900182724
1.edge,1,Greedy,WholePrime,20,0.005638699978590012
1.edge,1,Greedy,Quotient,20,0.005565600004047155
1.edge,1,Greedy,WholeGraph,20,0.0049728997983038425
1.edge,1,DSatur,WholePrime,20,0.009606399573385715
1.edge,1,DSatur,Quotient,20,0.009480900131165981
1.edge,1,DSatur,WholeGraph,20,0.0528655000962317
1.edge,1,TabuCol,WholePrime,20,1.5856693000532687
1.edge,1,TabuCol,Quotient,20,1.7443063003011048
1.edge,1,TabuCol,WholeGraph,20,1.0201175999827683
10.edge,1,RLF,WholePrime,46,0.0335848000831902
10.edge,1,RLF,Quotient,46,0.32189020002260804
10.edge,1,RLF,WholeGraph,46,0.03650919999927282
10.edge,1,Greedy,WholePrime,54,0.020459699910134077
10.edge,1,Greedy,Quotient,47,0.3239763998426497
10.edge,1,Greedy,WholeGraph,53,0.016436999663710594
10.edge,1,DSatur,WholePrime,45,0.04935100022703409
10.edge,1,DSatur,Quotient,46,0.29915700014680624
10.edge,1,DSatur,WholeGraph,45,0.06281759962439537
10.edge,1,TabuCol,WholePrime,46,3.7283318997360766
10.edge,1,TabuCol,Quotient,46,1.4509461000561714
10.edge,1,TabuCol,WholeGraph,46,0.8282781997695565
11.edge,1,RLF,WholePrime,46,0.02337680011987686
11.edge,1,RLF,Quotient,45,0.14569880021736026
11.edge,1,RLF,WholeGraph,46,0.047840799670666456
11.edge,1,Greedy,WholePrime,47,0.019555999897420406
11.edge,1,Greedy,Quotient,47,0.13644770020619035
11.edge,1,Greedy,WholeGraph,46,0.027566599659621716
11.edge,1,DSatur,WholePrime,43,0.037635999731719494
11.edge,1,DSatur,Quotient,45,0.1370024001225829
11.edge,1,DSatur,WholeGraph,43,0.0775528997182846
11.edge,1,TabuCol,WholePrime,43,2.8403969001956284
11.edge,1,TabuCol,Quotient,45,1.8452167003415525
11.edge,1,TabuCol,WholeGraph,46,1.3561924998648465
12.edge,1,RLF,WholePrime,38,0.015370800159871578
12.edge,1,RLF,Quotient,38,0.06858660001307726
12.edge,1,RLF,WholeGraph,38,0.0582355996593833
12.edge,1,Greedy,WholePrime,42,0.016146599780768156
12.edge,1,Greedy,Quotient,40,0.06487170001491904
12.edge,1,Greedy,WholeGraph,43,0.015864700078964233
12.edge,1,DSatur,WholePrime,37,0.03828320000320673
12.edge,1,DSatur,Quotient,37,0.08930870005860925
12.edge,1,DSatur,WholeGraph,37,0.07420719973742962
12.edge,1,TabuCol,WholePrime,37,3.7995119001716375
12.edge,1,TabuCol,Quotient,37,2.672815699595958
12.edge,1,TabuCol,WholeGraph,38,0.9709107000380754
13.edge,1,RLF,WholePrime,55,0.028747300151735544
13.edge,1,RLF,Quotient,55,0.1435256996192038
13.edge,1,RLF,WholeGraph,55,0.036646800115704536
13.edge,1,Greedy,WholePrime,58,0.018207400105893612
13.edge,1,Greedy,Quotient,55,0.12156440038233995
13.edge,1,Greedy,WholeGraph,58,0.022327799815684557
13.edge,1,DSatur,WholePrime,56,0.0512818000279367
13.edge,1,DSatur,Quotient,55,0.15444849990308285
13.edge,1,DSatur,WholeGraph,56,0.08461750019341707
13.edge,1,TabuCol,WholePrime,54,6.178880000021309
13.edge,1,TabuCol,Quotient,55,2.666510900016874
13.edge,1,TabuCol,WholeGraph,55,0.7018623999319971
14.edge,1,RLF,WholePrime,74,0.050769700203090906
14.edge,1,RLF,Quotient,73,0.2555319000966847
14.edge,1,RLF,WholeGraph,73,0.03426280012354255
14.edge,1,Greedy,WholePrime,80,0.0385387996211648
14.edge,1,Greedy,Quotient,77,0.25059910025447607
14.edge,1,Greedy,WholeGraph,82,0.06019640015438199
14.edge,1,DSatur,WholePrime,72,0.09333800012245774
14.edge,1,DSatur,Quotient,73,0.3026225999929011
14.edge,1,DSatur,WholeGraph,72,0.16273119999095798
14.edge,1,TabuCol,WholePrime,72,8.179812000133097
14.edge,1,TabuCol,Quotient,73,3.198296799790114
14.edge,1,TabuCol,WholeGraph,73,1.0620450996793807
2.edge,1,RLF,WholePrime,27,0.036782899871468544
2.edge,1,RLF,Quotient,27,0.45142029970884323
2.edge,1,RLF,WholeGraph,27,0.05461299978196621
2.edge,1,Greedy,WholePrime,29,0.024699799716472626
2.edge,1,Greedy,Quotient,27,0.45944759994745255
2.edge,1,Greedy,WholeGraph,29,0.006838499568402767
2.edge,1,DSatur,WholePrime,27,0.05159970000386238
2.edge,1,DSatur,Quotient,27,0.4699675003066659
2.edge,1,DSatur,WholeGraph,27,0.03029800020158291
2.edge,1,TabuCol,WholePrime,27,3.2245419998653233
2.edge,1,TabuCol,Quotient,27,1.8904158999212086
2.edge,1,TabuCol,WholeGraph,27,0.7688466999679804
3.edge,1,RLF,WholePrime,36,0.01579339988529682
3.edge,1,RLF,Quotient,36,0.07254339987412095
3.edge,1,RLF,WholeGraph,35,0.043120000045746565
3.edge,1,Greedy,WholePrime,39,0.014740699902176857
3.edge,1,Greedy,Quotient,37,0.06766409985721111
3.edge,1,Greedy,WholeGraph,39,0.01224599964916706
3.edge,1,DSatur,WholePrime,36,0.03751150006428361
3.edge,1,DSatur,Quotient,36,0.07570410007610917
3.edge,1,DSatur,WholeGraph,36,0.07117689959704876
3.edge,1,TabuCol,WholePrime,35,3.548291700426489
3.edge,1,TabuCol,Quotient,36,1.5180661999620497
3.edge,1,TabuCol,WholeGraph,35,1.4275247999466956
