Graph,RootType,Heuristic,Strategy,ColorCount,Time
0.edge,1,RLF,WholePrime,73,0.0379568999633193
0.edge,1,RLF,Quotient,73,0.03934390004724264
0.edge,1,RLF,WholeGraph,73,0.029073200188577175
0.edge,1,Greedy,WholePrime,77,0.026550800073891878
0.edge,1,Greedy,Quotient,77,0.023899800144135952
0.edge,1,Greedy,WholeGraph,77,0.035311199724674225
0.edge,1,DSatur,WholePrime,75,0.06642720010131598
0.edge,1,DSatur,Quotient,75,0.06364679988473654
0.edge,1,DSatur,WholeGraph,75,0.14863150008022785
0.edge,1,TabuCol,WholePrime,73,7.379705499857664
0.edge,1,TabuCol,Quotient,73,4.983027699869126
0.edge,1,TabuCol,WholeGraph,73,1.0624294001609087
1.edge,1,RLF,WholePrime,47,0.040905500296503305
1.edge,1,RLF,Quotient,49,0.13387280004099011
1.edge,1,RLF,WholeGraph,47,0.05122020002454519
1.edge,1,Greedy,WholePrime,52,0.020038099959492683
1.edge,1,Greedy,Quotient,51,0.12872100016102195
1.edge,1,Greedy,WholeGraph,53,0.024816700257360935
1.edge,1,DSatur,WholePrime,48,0.06326489988714457
1.edge,1,DSatur,Quotient,49,0.15934350015595555
1.edge,1,DSatur,WholeGraph,48,0.0891299000941217
1.edge,1,TabuCol,WholePrime,47,7.4636272001080215
1.edge,1,TabuCol,Quotient,49,4.337873600423336
1.edge,1,TabuCol,WholeGraph,47,0.8385385000146925
10.edge,1,RLF,WholePrime,44,0.04314600024372339
10.edge,1,RLF,Quotient,43,0.21775999991223216
10.edge,1,RLF,WholeGraph,44,0.051666200160980225
10.edge,1,Greedy,WholePrime,44,0.022260400000959635
10.edge,1,Greedy,Quotient,43,0.22663370007649064
10.edge,1,Greedy,WholeGraph,45,0.024496200028806925
10.edge,1,DSatur,WholePrime,44,0.05703799985349178
10.edge,1,DSatur,Quotient,43,0.23223649989813566
10.edge,1,DSatur,WholeGraph,44,0.07912119990214705
10.edge,1,TabuCol,WholePrime,43,5.5473466999828815
10.edge,1,TabuCol,Quotient,43,0.758045700378716
10.edge,1,TabuCol,WholeGraph,44,1.399423799943179
11.edge,1,RLF,WholePrime,75,0.010328100062906742
11.edge,1,RLF,Quotient,75,0.010375799611210823
11.edge,1,RLF,WholeGraph,75,0.029203299898654222
11.edge,1,Greedy,WholePrime,77,0.007224400062114
11.edge,1,Greedy,Quotient,77,0.0051654004491865635
11.edge,1,Greedy,WholeGraph,77,0.048006999772042036
11.edge,1,DSatur,WholePrime,75,0.01546540018171072
11.edge,1,DSatur,Quotient,75,0.018208700232207775
11.edge,1,DSatur,WholeGraph,75,0.1672248002141714
11.edge,1,TabuCol,WholePrime,75,4.012487099971622
11.edge,1,TabuCol,Quotient,75,1.8836778001859784
11.edge,1,TabuCol,WholeGraph,75,1.9056241000071168
12.edge,1,RLF,WholePrime,52,0.026565299835056067
12.edge,1,RLF,Quotient,52,0.09795739967375994
12.edge,1,RLF,WholeGraph,52,0.0389891997911036
12.edge,1,Greedy,WholePrime,53,0.02530129998922348
12.edge,1,Greedy,Quotient,52,0.0936747002415359
12.edge,1,Greedy,WholeGraph,53,0.029639500193297863
12.edge,1,DSatur,WholePrime,53,0.050477399956434965
12.edge,1,DSatur,Quotient,52,0.11368479998782277
12.edge,1,DSatur,WholeGraph,53,0.09362869989126921
12.edge,1,TabuCol,WholePrime,51,6.177872399799526
12.edge,1,TabuCol,Quotient,52,3.915588099975139
12.edge,1,TabuCol,WholeGraph,52,0.9908132003620267
13.edge,1,RLF,WholePrime,59,0.03274900000542402
13.edge,1,RLF,Quotient,59,0.12790430011227727
13.edge,1,RLF,WholeGraph,59,0.03745680022984743
13.edge,1,Greedy,WholePrime,63,0.021690600086003542
13.edge,1,Greedy,Quotient,62,0.11520499968901277
13.edge,1,Greedy,WholeGraph,64,0.03027410013601184
13.edge,1,DSatur,WholePrime,59,0.05570950033143163
13.edge,1,DSatur,Quotient,59,0.13902270002290606
13.edge,1,DSatur,WholeGraph,59,0.10802870010957122
13.edge,1,TabuCol,WholePrime,58,5.76884669996798
13.edge,1,TabuCol,Quotient,59,3.7928162002936006
13.edge,1,TabuCol,WholeGraph,59,1.061124499887228
14.edge,1,RLF,WholePrime,30,0.010363299865275621
14.edge,1,RLF,Quotient,30,0.02744949981570244
14.edge,1,RLF,WholeGraph,30,0.04786380007863045
14.edge,1,Greedy,WholePrime,33,0.007547699846327305
14.edge,1,Greedy,Quotient,33,0.026777099817991257
14.edge,1,Greedy,WholeGraph,31,0.009765900205820799
14.edge,1,DSatur,WholePrime,30,0.02196270041167736
14.edge,1,DSatur,Quotient,30,0.03486659983173013
14.edge,1,DSatur,WholeGraph,30,0.04630930023267865
14.edge,1,TabuCol,WholePrime,30,3.079088100232184
14.edge,1,TabuCol,Quotient,30,3.2458730000071228
14.edge,1,TabuCol,WholeGraph,30,1.00697570014745
2.edge,1,RLF,WholePrime,39,0.026747799944132566
2.edge,1,RLF,Quotient,38,0.12215089984238148
2.edge,1,RLF,WholeGraph,39,0.06033489992842078
2.edge,1,Greedy,WholePrime,40,0.020691399928182364
2.edge,1,Greedy,Quotient,38,0.1353314002044499
2.edge,1,Greedy,WholeGraph,40,0.018173400312662125
2.edge,1,DSatur,WholePrime,38,0.0449800998903811
2.edge,1,DSatur,Quotient,38,0.14374360023066401
2.edge,1,DSatur,WholeGraph,38,0.08203129982575774
2.edge,1,TabuCol,WholePrime,37,5.30793260037899
2.edge,1,TabuCol,Quotient,38,2.7748266998678446
2.edge,1,TabuCol,WholeGraph,39,0.707568499725312
3.edge,1,RLF,WholePrime,44,0.02245080005377531
3.edge,1,RLF,Quotient,44,0.03791940025985241
3.edge,1,RLF,WholeGraph,44,0.05246570007875562
3.edge,1,Greedy,WholePrime,44,0.015541600063443184
3.edge,1,Greedy,Quotient,44,0.03227919992059469
3.edge,1,Greedy,WholeGraph,44,0.01880030008032918
3.edge,1,DSatur,WholePrime,44,0.03627589996904135
3.edge,1,DSatur,Quotient,44,0.04579439992085099
3.edge,1,DSatur,WholeGraph,44,0.07695339992642403
3.edge,1,TabuCol,WholePrime,44,6.1553918002173305
3.edge,1,TabuCol,Quotient,44,3.749123699963093
3.edge,1,TabuCol,WholeGraph,44,0.9778775996528566
4.edge,1,RLF,WholePrime,35,0.015923299826681614
4.edge,1,RLF,Quotient,35,0.016950000077486038
4.edge,1,RLF,WholeGraph,35,0.05959889991208911
4.edge,1,Greedy,WholePrime,35,0.008495199959725142
4.edge,1,Greedy,Quotient,35,0.009370899759232998
4.edge,1,Greedy,WholeGraph,35,0.010197100229561329
4.edge,1,DSatur,WholePrime,35,0.02252360014244914
4.edge,1,DSatur,Quotient,35,0.021629299968481064
4.edge,1,DSatur,WholeGraph,35,0.08427450014278293
4.edge,1,TabuCol,WholePrime,35,5.967615200206637
4.edge,1,TabuCol,Quotient,35,4.086771099828184
4.edge,1,TabuCol,WholeGraph,35,0.8604603996500373
5.edge,1,RLF,WholePrime,71,0.027659200131893158
5.edge,1,RLF,Quotient,71,0.072034299839288
5.edge,1,RLF,WholeGraph,71,0.0385606000199914
5.edge,1,Greedy,WholePrime,74,0.021658199839293957
5.edge,1,Greedy,Quotient,73,0.05963239958509803
5.edge,1,Greedy,WholeGraph,73,0.04182310029864311
5.edge,1,DSatur,WholePrime,70,0.06252619996666908
5.edge,1,DSatur,Quotient,70,0.09121150011196733
5.edge,1,DSatur,WholeGraph,70,0.15519810002297163
5.edge,1,TabuCol,WholePrime,70,9.365542199928313
5.edge,1,TabuCol,Quotient,70,4.079569299705327
5.edge,1,TabuCol,WholeGraph,70,1.0424850997515023
6.edge,1,RLF,WholePrime,47,0.01634229999035597
6.edge,1,RLF,Quotient,47,0.013879700098186731
6.edge,1,RLF,WholeGraph,47,0.04004739969968796
6.edge,1,Greedy,WholePrime,48,0.005868099629878998
6.edge,1,Greedy,Quotient,48,0.009306299965828657
6.edge,1,Greedy,WholeGraph,48,0.022855699993669987
6.edge,1,DSatur,WholePrime,47,0.023670199792832136
6.edge,1,DSatur,Quotient,47,0.02933310018852353
6.edge,1,DSatur,WholeGraph,47,0.09116449998691678
6.edge,1,TabuCol,WholePrime,47,5.131277299951762
6.edge,1,TabuCol,Quotient,47,4.447410500142723
6.edge,1,TabuCol,WholeGraph,47,0.9915034002624452
7.edge,1,RLF,WholePrime,26,0.007973600178956985
7.edge,1,RLF,Quotient,26,0.010296199936419725
7.edge,1,RLF,WholeGraph,26,0.0696421000175178
7.edge,1,Greedy,WholePrime,26,0.005689600016921759
7.edge,1,Greedy,Quotient,26,0.006890200078487396
7.edge,1,Greedy,WholeGraph,26,0.005352600011974573
7.edge,1,DSatur,WholePrime,26,0.01596639957278967
7.edge,1,DSatur,Quotient,26,0.01690919976681471
7.edge,1,DSatur,WholeGraph,26,0.04443769995123148
7.edge,1,TabuCol,WholePrime,26,2.559263300150633
7.edge,1,TabuCol,Quotient,26,2.5489973998628557
7.edge,1,TabuCol,WholeGraph,26,0.8389449999667704
8.edge,1,RLF,WholePrime,45,0.013308899942785501
8.edge,1,RLF,Quotient,45,0.04096220014616847
8.edge,1,RLF,WholeGraph,45,0.03582739969715476
8.edge,1,Greedy,WholePrime,46,0.011258600279688835
8.edge,1,Greedy,Quotient,45,0.04092520009726286
8.edge,1,Greedy,WholeGraph,47,0.015673399902880192
8.edge,1,DSatur,WholePrime,45,0.026370400097221136
8.edge,1,DSatur,Quotient,45,0.0510193002410233
8.edge,1,DSatur,WholeGraph,45,0.06271190010011196
8.edge,1,TabuCol,WholePrime,44,3.70947640016675
8.edge,1,TabuCol,Quotient,45,2.2053745999000967
8.edge,1,TabuCol,WholeGraph,45,0.879836400039494
9.edge,1,RLF,WholePrime,35,0.017721999902278185
9.edge,1,RLF,Quotient,34,0.034056699834764004
9.edge,1,RLF,WholeGraph,34,0.04818290006369352
9.edge,1,Greedy,WholePrime,35,0.012299200054258108
9.edge,1,Greedy,Quotient,35,0.03195919981226325
9.edge,1,Greedy,WholeGraph,35,0.01131359999999404
9.edge,1,DSatur,WholePrime,34,0.03845850005745888
9.edge,1,DSatur,Quotient,34,0.05567739997059107
9.edge,1,DSatur,WholeGraph,34,0.058702599722892046
9.edge,1,TabuCol,WholePrime,34,7.244129499886185
9.edge,1,TabuCol,Quotient,34,4.378858299925923
9.edge,1,TabuCol,WholeGraph,34,0.6843459997326136
