Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,78,0.2829768001101911,750
0.edge,1,RLF,Quotient,76,1.652512399945408,750
0.edge,1,RLF,WholeGraph,78,1.2272479003295302,750
0.edge,1,Greedy,WholePrime,83,0.165635300334543,750
0.edge,1,Greedy,Quotient,77,1.4473982998169959,750
0.edge,1,Greedy,WholeGraph,83,0.20100069977343082,750
0.edge,1,DSatur,WholePrime,76,0.3596959002315998,750
0.edge,1,DSatur,Quotient,75,1.5824349001049995,750
0.edge,1,DSatur,WholeGraph,76,1.097327800001949,750
0.edge,1,TabuCol,WholePrime,75,17.99039819976315,750
0.edge,1,TabuCol,Quotient,75,7.0858949003741145,750
0.edge,1,TabuCol,WholeGraph,78,4.961233000271022,750
1.edge,1,RLF,WholePrime,135,0.5535619999282062,750
1.edge,1,RLF,Quotient,138,5.041109200101346,750
1.edge,1,RLF,WholeGraph,135,0.5084104998968542,750
1.edge,1,Greedy,WholePrime,143,0.4102937001734972,750
1.edge,1,Greedy,Quotient,138,4.905945899896324,750
1.edge,1,Greedy,WholeGraph,148,0.5073012001812458,750
1.edge,1,DSatur,WholePrime,133,0.7579720001667738,750
1.edge,1,DSatur,Quotient,138,4.885382200125605,750
1.edge,1,DSatur,WholeGraph,133,1.2344403001479805,750
1.edge,1,TabuCol,WholePrime,133,18.473184099886566,750
1.edge,1,TabuCol,Quotient,138,3.087000399827957,750
1.edge,1,TabuCol,WholeGraph,135,4.567087099887431,750
10.edge,1,RLF,WholePrime,84,0.23952970001846552,750
10.edge,1,RLF,Quotient,84,3.0657577998936176,750
10.edge,1,RLF,WholeGraph,84,0.7912701000459492,750
10.edge,1,Greedy,WholePrime,91,0.15261679980903864,750
10.edge,1,Greedy,Quotient,84,3.0763514996506274,750
10.edge,1,Greedy,WholeGraph,91,0.2107069999910891,750
10.edge,1,DSatur,WholePrime,84,0.35587209975346923,750
10.edge,1,DSatur,Quotient,84,3.3117255000397563,750
10.edge,1,DSatur,WholeGraph,84,0.791975500062108,750
10.edge,1,TabuCol,WholePrime,83,9.920893600210547,750
10.edge,1,TabuCol,Quotient,84,3.2077293000184,750
10.edge,1,TabuCol,WholeGraph,84,8.942541199736297,750
11.edge,1,RLF,WholePrime,85,0.6260979999788105,750
11.edge,1,RLF,Quotient,86,6.4023250001482666,750
11.edge,1,RLF,WholeGraph,85,1.3611580999568105,750
11.edge,1,Greedy,WholePrime,99,0.2618350996635854,750
11.edge,1,Greedy,Quotient,86,6.461116400081664,750
11.edge,1,Greedy,WholeGraph,100,0.2640167996287346,750
11.edge,1,DSatur,WholePrime,84,0.672803099732846,750
11.edge,1,DSatur,Quotient,86,6.269821499940008,750
11.edge,1,DSatur,WholeGraph,84,1.0395714002661407,750
11.edge,1,TabuCol,WholePrime,83,17.31587929977104,750
11.edge,1,TabuCol,Quotient,86,5.476372300181538,750
11.edge,1,TabuCol,WholeGraph,85,4.304087799973786,750
12.edge,1,RLF,WholePrime,78,0.6300674001686275,750
12.edge,1,RLF,Quotient,79,11.071361500304192,750
12.edge,1,RLF,WholeGraph,78,0.5598304998129606,750
12.edge,1,Greedy,WholePrime,93,0.2029760000295937,750
12.edge,1,Greedy,Quotient,79,9.978244599886239,750
12.edge,1,Greedy,WholeGraph,88,0.1312849996611476,750
12.edge,1,DSatur,WholePrime,78,0.33138150023296475,750
12.edge,1,DSatur,Quotient,79,8.04724320024252,750
12.edge,1,DSatur,WholeGraph,78,0.34027969976887107,750
12.edge,1,TabuCol,WholePrime,77,4.517763899639249,750
12.edge,1,TabuCol,Quotient,79,6.271118899807334,750
12.edge,1,TabuCol,WholeGraph,78,3.347339699976146,750
13.edge,1,RLF,WholePrime,82,0.2624669000506401,750
13.edge,1,RLF,Quotient,82,2.9376415996812284,750
13.edge,1,RLF,WholeGraph,85,0.9579566000029445,750
13.edge,1,Greedy,WholePrime,86,0.17799480026587844,750
13.edge,1,Greedy,Quotient,82,3.1110124001279473,750
13.edge,1,Greedy,WholeGraph,86,0.31396020017564297,750
13.edge,1,DSatur,WholePrime,83,0.4458655999042094,750
13.edge,1,DSatur,Quotient,82,3.2848751000128686,750
13.edge,1,DSatur,WholeGraph,83,1.2556362999603152,750
13.edge,1,TabuCol,WholePrime,82,12.353859199676663,750
13.edge,1,TabuCol,Quotient,82,5.113025899976492,750
13.edge,1,TabuCol,WholeGraph,85,7.917165399994701,750
14.edge,1,RLF,WholePrime,86,0.32930730003863573,750
14.edge,1,RLF,Quotient,83,4.852161900140345,750
14.edge,1,RLF,WholeGraph,85,1.0699009001255035,750
14.edge,1,Greedy,WholePrime,95,0.4899573000147939,750
14.edge,1,Greedy,Quotient,83,5.421130200382322,750
14.edge,1,Greedy,WholeGraph,95,0.260026799980551,750
14.edge,1,DSatur,WholePrime,81,0.6796705001033843,750
14.edge,1,DSatur,Quotient,83,5.215144699905068,750
14.edge,1,DSatur,WholeGraph,81,0.7244186997413635,750
14.edge,1,TabuCol,WholePrime,80,13.777605599723756,750
14.edge,1,TabuCol,Quotient,83,5.540469400119036,750
14.edge,1,TabuCol,WholeGraph,85,9.199712799862027,750
2.edge,1,RLF,WholePrime,83,0.2159694996662438,750
2.edge,1,RLF,Quotient,80,3.297453799750656,750
2.edge,1,RLF,WholeGraph,83,0.7716879001818597,750
2.edge,1,Greedy,WholePrime,98,0.173078500200063,750
2.edge,1,Greedy,Quotient,80,3.324878899846226,750
2.edge,1,Greedy,WholeGraph,99,0.2281696000136435,750
2.edge,1,DSatur,WholePrime,79,0.393009299878031,750
2.edge,1,DSatur,Quotient,80,3.6508504999801517,750
2.edge,1,DSatur,WholeGraph,79,0.6815717997960746,750
2.edge,1,TabuCol,WholePrime,80,9.239269400015473,750
2.edge,1,TabuCol,Quotient,80,3.387173700146377,750
2.edge,1,TabuCol,WholeGraph,83,6.604942800011486,750
3.edge,1,RLF,WholePrime,123,0.8411832000128925,750
3.edge,1,RLF,Quotient,121,6.960838899947703,750
3.edge,1,RLF,WholeGraph,121,1.0388878998346627,750
3.edge,1,Greedy,WholePrime,134,0.5502114999108016,750
3.edge,1,Greedy,Quotient,121,6.644319799728692,750
3.edge,1,Greedy,WholeGraph,135,0.6514260997064412,750
3.edge,1,DSatur,WholePrime,119,1.0784642002545297,750
3.edge,1,DSatur,Quotient,121,6.607033200096339,750
3.edge,1,DSatur,WholeGraph,119,1.4871785999275744,750
3.edge,1,TabuCol,WholePrime,117,16.33853739965707,750
3.edge,1,TabuCol,Quotient,121,5.813001499976963,750
3.edge,1,TabuCol,WholeGraph,121,4.864539900328964,750
4.edge,1,RLF,WholePrime,114,0.38609320018440485,750
4.edge,1,RLF,Quotient,117,2.728117700200528,750
4.edge,1,RLF,WholeGraph,115,0.8951111999340355,750
4.edge,1,Greedy,WholePrime,126,0.3694197000004351,750
4.edge,1,Greedy,Quotient,117,2.5280299996957183,750
4.edge,1,Greedy,WholeGraph,126,0.4022238003090024,750
4.edge,1,DSatur,WholePrime,114,0.5655111996456981,750
4.edge,1,DSatur,Quotient,117,2.507792899850756,750
4.edge,1,DSatur,WholeGraph,114,1.4173296000808477,750
4.edge,1,TabuCol,WholePrime,114,19.58696690015495,750
4.edge,1,TabuCol,Quotient,117,7.544065400026739,750
4.edge,1,TabuCol,WholeGraph,115,7.264914100058377,750
5.edge,1,RLF,WholePrime,47,0.062023399863392115,750
5.edge,1,RLF,Quotient,48,0.5370104997418821,750
5.edge,1,RLF,WholeGraph,46,1.7315154001116753,750
5.edge,1,Greedy,WholePrime,49,0.01944120042026043,750
5.edge,1,Greedy,Quotient,48,0.5665148003026843,750
5.edge,1,Greedy,WholeGraph,50,0.09135439991950989,750
5.edge,1,DSatur,WholePrime,45,0.0624442002736032,750
5.edge,1,DSatur,Quotient,48,0.5295409001410007,750
5.edge,1,DSatur,WholeGraph,45,0.6135348998941481,750
5.edge,1,TabuCol,WholePrime,46,3.7451758002862334,750
5.edge,1,TabuCol,Quotient,48,2.114876000210643,750
5.edge,1,TabuCol,WholeGraph,46,6.335773500148207,750
6.edge,1,RLF,WholePrime,60,0.3114466001279652,750
6.edge,1,RLF,Quotient,60,3.3352779000997543,750
6.edge,1,RLF,WholeGraph,62,1.1114885001443326,750
6.edge,1,Greedy,WholePrime,68,0.26984910015016794,750
6.edge,1,Greedy,Quotient,61,3.5199814001098275,750
6.edge,1,Greedy,WholeGraph,68,0.13923219963908195,750
6.edge,1,DSatur,WholePrime,59,0.5395468999631703,750
6.edge,1,DSatur,Quotient,60,3.9093134002760053,750
6.edge,1,DSatur,WholeGraph,59,0.7251663999632001,750
6.edge,1,TabuCol,WholePrime,58,12.933145000133663,750
6.edge,1,TabuCol,Quotient,60,7.652310700155795,750
6.edge,1,TabuCol,WholeGraph,62,7.272610499989241,750
7.edge,1,RLF,WholePrime,91,0.9793666996993124,750
7.edge,1,RLF,Quotient,92,9.99821939971298,750
7.edge,1,RLF,WholeGraph,90,1.23532610014081,750
7.edge,1,Greedy,WholePrime,108,0.4163544997572899,750
7.edge,1,Greedy,Quotient,92,9.188957899808884,750
7.edge,1,Greedy,WholeGraph,107,0.4238058002665639,750
7.edge,1,DSatur,WholePrime,87,0.8799445000477135,750
7.edge,1,DSatur,Quotient,92,8.803972799796611,750
7.edge,1,DSatur,WholeGraph,87,1.0824259002692997,750
7.edge,1,TabuCol,WholePrime,86,12.941519800107926,750
7.edge,1,TabuCol,Quotient,92,7.629910999909043,750
7.edge,1,TabuCol,WholeGraph,90,4.49944239994511,750
8.edge,1,RLF,WholePrime,106,0.46095910016447306,750
8.edge,1,RLF,Quotient,104,3.4516016002744436,750
8.edge,1,RLF,WholeGraph,106,1.5818841001018882,750
8.edge,1,Greedy,WholePrime,117,0.334336600266397,750
8.edge,1,Greedy,Quotient,106,3.902971399948001,750
8.edge,1,Greedy,WholeGraph,117,0.6154225002974272,750
8.edge,1,DSatur,WholePrime,102,0.674533300101757,750
8.edge,1,DSatur,Quotient,104,3.84462169976905,750
8.edge,1,DSatur,WholeGraph,102,1.6534123001620173,750
8.edge,1,TabuCol,WholePrime,102,22.804983099922538,750
8.edge,1,TabuCol,Quotient,104,8.258707900065929,750
8.edge,1,TabuCol,WholeGraph,106,6.398245200049132,750
9.edge,1,RLF,WholePrime,92,0.25336850015446544,750
9.edge,1,RLF,Quotient,91,4.1761949001811445,750
9.edge,1,RLF,WholeGraph,92,1.3716398002579808,750
9.edge,1,Greedy,WholePrime,107,0.5259346999228001,750
9.edge,1,Greedy,Quotient,91,4.372315799817443,750
9.edge,1,Greedy,WholeGraph,106,0.3956632004119456,750
9.edge,1,DSatur,WholePrime,91,0.7348787002265453,750
9.edge,1,DSatur,Quotient,91,4.2663873001001775,750
9.edge,1,DSatur,WholeGraph,91,1.034831200260669,750
9.edge,1,TabuCol,WholePrime,91,10.620846699923277,750
9.edge,1,TabuCol,Quotient,91,3.8207424003630877,750
9.edge,1,TabuCol,WholeGraph,92,9.066799700260162,750
