Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,161,0.10124839982017875,500
0.edge,1,RLF,Quotient,161,0.5978796002455056,500
0.edge,1,RLF,WholeGraph,161,0.22177370032295585,500
0.edge,1,Greedy,WholePrime,170,0.09535659989342093,500
0.edge,1,Greedy,Quotient,164,0.6097933002747595,500
0.edge,1,Greedy,WholeGraph,169,0.32240840001031756,500
0.edge,1,DSatur,WholePrime,161,0.2183319996111095,500
0.edge,1,DSatur,Quotient,161,0.6562855998054147,500
0.edge,1,DSatur,WholeGraph,161,0.8981864000670612,500
0.edge,1,TabuCol,WholePrime,161,18.177819299977273,500
0.edge,1,TabuCol,Quotient,161,9.35664839996025,500
0.edge,1,TabuCol,WholeGraph,161,5.036269800271839,500
1.edge,1,RLF,WholePrime,231,0.05158719979226589,500
1.edge,1,RLF,Quotient,231,0.19144910015165806,500
1.edge,1,RLF,WholeGraph,231,0.14255909994244576,500
1.edge,1,Greedy,WholePrime,232,0.05329759977757931,500
1.edge,1,Greedy,Quotient,231,0.19258759962394834,500
1.edge,1,Greedy,WholeGraph,232,0.4861252000555396,500
1.edge,1,DSatur,WholePrime,231,0.1337768998928368,500
1.edge,1,DSatur,Quotient,231,0.23984810011461377,500
1.edge,1,DSatur,WholeGraph,231,1.4126960998401046,500
1.edge,1,TabuCol,WholePrime,231,13.741029400378466,500
1.edge,1,TabuCol,Quotient,231,10.22984499996528,500
1.edge,1,TabuCol,WholeGraph,231,8.979055000003427,500
10.edge,1,RLF,WholePrime,219,0.07047019992023706,500
10.edge,1,RLF,Quotient,219,0.41024980042129755,500
10.edge,1,RLF,WholeGraph,219,0.15727230021730065,500
10.edge,1,Greedy,WholePrime,222,0.08936440013349056,500
10.edge,1,Greedy,Quotient,220,0.4048104998655617,500
10.edge,1,Greedy,WholeGraph,224,0.5202538999728858,500
10.edge,1,DSatur,WholePrime,219,0.18703159969300032,500
10.edge,1,DSatur,Quotient,219,0.4721803003922105,500
10.edge,1,DSatur,WholeGraph,219,0.8547102999873459,500
10.edge,1,TabuCol,WholePrime,217,17.210235100239515,500
10.edge,1,TabuCol,Quotient,218,8.193084900267422,500
10.edge,1,TabuCol,WholeGraph,219,6.806299900170416,500
11.edge,1,RLF,WholePrime,226,0.06579659972339869,500
11.edge,1,RLF,Quotient,226,0.14024139987304807,500
11.edge,1,RLF,WholeGraph,226,0.09092469979077578,500
11.edge,1,Greedy,WholePrime,228,0.06125779962167144,500
11.edge,1,Greedy,Quotient,228,0.11651149997487664,500
11.edge,1,Greedy,WholeGraph,228,0.30335440021008253,500
11.edge,1,DSatur,WholePrime,226,0.16190930036827922,500
11.edge,1,DSatur,Quotient,226,0.18739280011504889,500
11.edge,1,DSatur,WholeGraph,226,0.6890153000131249,500
11.edge,1,TabuCol,WholePrime,226,16.701548899989575,500
11.edge,1,TabuCol,Quotient,226,11.2974986997433,500
11.edge,1,TabuCol,WholeGraph,226,4.608260399661958,500
12.edge,1,RLF,WholePrime,270,0.08224059967324138,500
12.edge,1,RLF,Quotient,269,0.3761879997327924,500
12.edge,1,RLF,WholeGraph,270,0.11215559998527169,500
12.edge,1,Greedy,WholePrime,276,0.08803889993578196,500
12.edge,1,Greedy,Quotient,273,0.40066129993647337,500
12.edge,1,Greedy,WholeGraph,274,0.695572099648416,500
12.edge,1,DSatur,WholePrime,269,0.17397940019145608,500
12.edge,1,DSatur,Quotient,269,0.43486239993944764,500
12.edge,1,DSatur,WholeGraph,269,1.5316999000497162,500
12.edge,1,TabuCol,WholePrime,269,18.312873699702322,500
12.edge,1,TabuCol,Quotient,269,7.501682700123638,500
12.edge,1,TabuCol,WholeGraph,270,8.207813100423664,500
13.edge,1,RLF,WholePrime,233,0.046899199951440096,500
13.edge,1,RLF,Quotient,233,0.05646160012111068,500
13.edge,1,RLF,WholeGraph,233,0.182194699998945,500
13.edge,1,Greedy,WholePrime,237,0.054203299805521965,500
13.edge,1,Greedy,Quotient,237,0.05370400007814169,500
